query,title,link,description,pubdate
LG화학,석유화학업계 실적 부진 장기화… 수익성 하락 뚜렷,https://www.newscj.com/news/articleView.html?idxno=3053850,"13일 금융감독원 전자공시시스템에 따르면, LG화학의 경우 연결기준 올 2분기 실적은 매출액 14조 5415억원에 영업이익 6155억원이었다. 지난해 동기 대비 매출은 18.8% 늘었지만 영업이익은 29.9% 줄었다. 업황 회복세가 느린... ",2023-08-13T16:04:00+09:00
LG화학,"여천무선1 주거센터-LG화학 신입 직원, 아파트 청소",http://www.jnilbo.com/71224372754,"주택관리공단 여천무선1 주거행복지원센터와 여수 LG화학 신입 직원들이 아파트 인근에서 복도, 계단청소 등 봉사활동을 실시했다. 여천무선1 제공",2023-08-13T15:54:00+09:00
LG화학,실적 엇갈린 배터리 소재…양극재·동박 울고 분리막 웃고,https://n.news.naver.com/mnews/article/029/0002819130?sid=101,13일 업계에 따르면 LG화학 첨단소재 부문 영업이익은 전년 동기 대비 45.0% 감소한 1846억원으로 집계됐다. 포스코퓨처엠의 영업이익은 521억원으로 작년 동기 대비 5.6% 감소했다. 엘엔애프의 영업이익은 30억원으로 무려... ,2023-08-13T15:08:00+09:00
LG화학,"박태성 배터리협회 부회장 ""IRA에도 필요하다면 中과 협력해야""",https://n.news.naver.com/mnews/article/092/0002301810?sid=105,"현재 LG화학, LG에너지솔루션, SK온은 중국의 화유코발트, 거린메이 등과 합작법인(JV)을 설립하거나 전구체 공장을 공동으로 건설하는 등 협력을 강화하는 추세다. 박 부회장은 ""우리가 선제적으로 준비해야 하는 것들을... ",2023-08-13T15:01:00+09:00
LG화학,배터리 소재 실적서 분리막만 '선방'…중장기 성장성도 확보,https://n.news.naver.com/mnews/article/374/0000347271?sid=101,13일 업계에 따르면 LG화학 첨단소재 부문 2분기 영업이익은 1년 전보다 45.0% 감소한 1천846억원으로 집계됐습니다. 포스코퓨처엠 영업이익은 1년 전보다 5.6% 감소한 521억원을 기록했습니다. 에코프로비엠의 영업이익은... ,2023-08-13T14:05:00+09:00
LG화학,'기업실적 하반기는 낫다더니'…증권가 전망치 '뚝',https://n.news.naver.com/mnews/article/374/0000347266?sid=101,"이 기간 이차전지주로 분류되는 POSCO홀딩스 추정치도 1조7천378억원에서 1조3천126억원으로 감소했으며 LG디스플레이(129억원 이익→4천715억원 손실), LG화학(1조1천362억원→8천3억원) 등도 추정치가 큰 폭으로... ",2023-08-13T11:42:00+09:00
LG화학,석유화학 하반기 전망도 '먹구름',http://www.smedaily.co.kr/news/articleView.html?idxno=265222,LG화학 역시 2분기 석유화학 부문에서 영업손실 127억원을 기록하며 3개 분기째 적자를 이어갔다. LG화학은 석유화학 시황 악화에 사업 구조 재편에도 속도를 내고 있다. 이 과정에서 여수 나프타분해설비(NCC) 2공장 인력... ,2023-08-13T11:30:00+09:00
LG화학,[LG그룹 주간동향] LG생활건강 한주간 9.15% 올라 계열사 중 주간 상승률 1위,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212007,3%)▲5위 LG디스플레이 1만4020원(0.79%)▲6위 LG유플러스 1만140원(0.7%)▲7위 LG전자 10만3800원(0.19%)▲8위 HS애드 5900원(0%)▲9위 LG 8만2300원(-1.79%)▲10위 LG화학 62만2000원(-2.2%)▲11위 LG헬로비전 4035원(-2.3%),2023-08-13T11:08:00+09:00
LG화학,양극재 리튬 가격 하락에 주춤 동박 중국산 공세로 공급 과잉,http://www.smedaily.co.kr/news/articleView.html?idxno=265216,"13일 업계에 따르면 LG화학과 포스코퓨처엠, 에코프로비엠 등 양극재 기업의 2분기 실적은 다소 저조했다. LG화학 첨단소재 부문 영업이익은 지난해 동기보다 45.0% 감소한 1846억원으로 집계됐다. 포스코퓨처엠의... ",2023-08-13T10:44:00+09:00
LG화학,"끝모를 부진 석화업계, 하반기도 낙관 못한다",https://n.news.naver.com/mnews/article/021/0002588149?sid=101,"LG화학 석유화학부문 3분기, 롯데케미칼 5분기 연속 적자 석유화학업계의 부진이 길어지고 있다. 경기 침체로 인한 수요 부진에 수익성이 악화해 2분기 실적이 추락했다. 업계에서는 하반기 전망도 낙관적이지 않다는... ",2023-08-13T10:22:00+09:00
LG화학,"[주간브리핑] 집값 띄우려 '新고가' 계약…지주계열 증권사, '충당금' 희비",http://www.srtimes.kr/news/articleView.html?idxno=140678,◆ LG화학·LS 전구체 생산 '온도차' 배터리 소재기업인 LG화학과 LS가 양극재 원료인 전구체 생산을 두고 온도차를 보이고 있다. LG화학은 전구체 신공법 개발에 집중하고 있는 반면 LS는 전구체 생산 공급망 구축에... ,2023-08-13T09:54:00+09:00
LG화학,석유화학 업계 실적 부진 장기화…하반기 전망은?,https://n.news.naver.com/mnews/article/003/0012028312?sid=101,"13일 금융감독원 전자공시시스템에 따르면 LG화학은 연결기준 올 2분기 실적으로 매출액 14조5415억원, 영업이익 6155억원을 기록했다. 전년 동기 대비 매출은 18.8% 증가했지만 영업이익은 29.9% 감소했다. 업황 회복세가... ",2023-08-13T08:31:00+09:00
LG화학,중국 배제한 첨단 공급망 구축 가능할까 [최준영의 경제 바로읽기],https://n.news.naver.com/mnews/article/586/0000062770?sid=101,"중국의 화유코발트는 LG화학과 협력해 한국 새만금에 전구체 공장을 건립하기로 했는데, 이 역시 인플레이션 감축법의 규제를 우회하기 위한 것으로 여겨지고 있다. 중국의 우회 전략이 효과를 발휘하고 있는 것은 중국이... ",2023-08-13T08:09:00+09:00
LG화학,[2차전지 K-뉴딜 주간동향] SKC 한주간 4.96% 올라 업종내 상승률 선두,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211961,1위 SKC 10만3700원(4.96%)▲2위 LG에너지솔루션 54만7000원(1.3%)▲3위 삼성SDI 63만3000원(-0.31%)▲4위 SK아이이테크놀로지 9만9500원(-1.97%)▲5위 LG화학 62만2000원(-2.2%)▲6위 에코프로 113만7000원(-3.15%)▲7위... ,2023-08-13T08:08:00+09:00
LG화학,16거래일째 내다파는 ‘셀(Sell)기금’....이차전지 폭풍 순매도,https://www.etoday.co.kr/news/view/2274661,"연기금이 집중적으로 내다판 순매도 상위 20위 종목을 보면 POSCO홀딩스(1위, -3662억 원), LG화학(9위, -649억 원), LS(11위, -562억 원)등 이차전지 관련 종목들이 11개로 전체의 절반 이상을 차지했다. 삼성전자(2위, -2520억... ",2023-08-13T07:10:00+09:00
LG화학,"SK·LG롯데·한화, 친환경 폐플라스틱 재활용 시장 '주목'",https://www.fetv.co.kr/news/article.html?no=145345,"대표적으로 LG화학, SK지오센트릭, SK케미칼, 롯데케미칼, 한화솔루션 등이 포함된다. 해당 기업들이 친환경 재활용 플라스틱 사업에 뛰어든 이유는 재사용(리유즈)과 친환경이라는 점과 매년 플라스틱 시장규모가... ",2023-08-13T07:02:00+09:00
LG화학,실적 엇갈린 배터리 소재기업…양극재·동박 울고 분리막 웃고,https://n.news.naver.com/mnews/article/001/0014128285?sid=101,"리튬 가격 하락에 LG화학 등 양극재기업 2분기 실적 주춤 '중국산 물량 공세' 동박기업 울상…'실적개선' 분리막기업 방긋 양극재, 동박, 분리막 등 배터리 소재·부품 기업의 올해 2분기 실적 희비가 엇갈렸다. 리튬 등... ",2023-08-13T06:30:00+09:00
LG화학,'부진 늪'에 빠진 석유화학업계…하반기 전망도 '먹구름',https://n.news.naver.com/mnews/article/001/0014128286?sid=101,"롯데케미칼 5개 분기·LG화학 석화부문 3개 분기 연속 적자 수요 위축에 업황 침체 장기화…""개선 폭 크지 않아"" 글로벌 경기 침체가 길어지면서 시황에 민감한 석유화학업계가 실적 부진의 늪에서 빠져나오지 못하고... ",2023-08-13T06:30:00+09:00
LG화학,[CEO열전] 구광모 LG 회장 'A-B-C' 전략으로 영속하는 LG 만든다,https://n.news.naver.com/mnews/article/417/0000941834?sid=101,"LG화학은 혁신신약 연구와 더불어 신약 파이프라인을 적극적으로 확대해 나갈 계획이다. 이를 위해 M&A 등을 포함한 다양한 전략을 검토하고 첨단 바이오 기술 확보에도 집중한다. LG는 바이오 소재, 신재생 에너지... ",2023-08-13T06:10:00+09:00
LG화학,"'기업실적 상저하고라더니'…증권가 전망치, 연초보다 31%↓",https://n.news.naver.com/mnews/article/001/0014128272?sid=101,"이 기간 이차전지주로 분류되는 POSCO홀딩스 추정치도 1조7천378억원에서 1조3천126억원으로 감소했으며 LG디스플레이(129억원 이익→4천715억원 손실), LG화학(1조1천362억원→8천3억원) 등도 추정치가 큰 폭으로 줄었다.... ",2023-08-13T06:01:00+09:00
LG화학,"좋은 땅 없나요… 2차전지 기업들, 부지 찾아 삼만리",https://n.news.naver.com/mnews/article/366/0000924077?sid=101,"올해 SK온·에코프로머티리얼즈·GEM(33만㎡), LG화학·화유코발트 합작사(33만㎡), LS·엘앤에프(13만2200㎡) 등 2차전지 관련 대기업·중견기업 합작사들이 잇따라 새만금에 공장 건립 계획을 발표했다. 전북도청 관계자는... ",2023-08-13T05:01:00+09:00
LG화학,[한證막] 中 단체관광 등 이벤트 풍부했던 韓 주식시장,http://www.newsprime.co.kr/news/article.html?no=609913,2차전지 대형주로는 △LG에너지솔루션(373220) 1.62% △포스코홀딩스(005490) 3.51% △LG화학(051910) 1.89% △포스코퓨처엠(003670) 2.54%로 하락세를 면치 못했다. 결국 미국의 CPI가 예상치를 하회했다는 소식에도 반도체와... ,2023-08-12T17:16:00+09:00
LG화학,"여수YWCA, LG화학과 함께하는 '날아라 희망공'",http://www.netongs.com/news/articleView.html?idxno=315791,여수YWCA(회장 조애숙)가 12일 LG화학 여수공장과 함께 여수시 연등천(광무동 인근)에 'EM 흙공 던지기 행사'를 진행했다. EM 흙공은 황토에 EM발효액을 섞어 반죽한 후 발효시킨 것으로 하천 바닥에 퇴적된 오염물질을... ,2023-08-12T16:12:00+09:00
LG화학,지아이이노베이션 '금융 20거래일 팔고있는데?' 주가 강세에 매도세 늘어…면...,https://www.thekpm.com/news/articleView.html?idxno=168479,"반면 제넥신, 헬릭스미스, 엔케이맥스, 차바이오텍, 네오이뮨텍, HK이노엔, 앱클론, 코오롱생명과학, 지씨셀, 바이젠셀, 유틸렉스, LG화학, 셀리드는 하락 마감한 것으로 나타났다.",2023-08-12T14:16:00+09:00
LG화학,파워로직스 주가 '폭풍 점프'…식지않는 초전도체 열풍 어디까지?,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211915,"보라전자(천진)유한공사, 보라전자과기(양주)유한공사, 엔코, 티엔에스 등 10개 회사를 연결대상 종속회사로 보유했다. 삼성SDI, 삼성전자, LG화학 등을 주요 거래처로 보유하고 있다.",2023-08-12T13:52:00+09:00
LG화학,파워로직스 '초전도체 대장주 도전' 개인이 밀어붙인 급등…초전도체 관련주 ...,https://www.thekpm.com/news/articleView.html?idxno=168405,"파워로직스는 삼성전자, 삼성SDI, LG화학 등을 주요 거래처로 확보하고 있다. 1분기보고서에 따르면 파워로직스는 매출액 2185억원(YoY-9.65%), 영업이익 84억 1000만원(YoY+223.1%), 순이익 123억 5000만원(YoY+433.0%)으로 전년... ",2023-08-12T13:02:00+09:00
LG화학,신성장동력 전환 바쁜 LG화학…신기술 개발 '속도전',https://www.mediapen.com/news/view/845403,"석유화학 업황 악화로 2분기 어닝쇼크를 기록한 LG화학이 사업 방향 전환에 박차를 가하고 있다. LG화학은 이차전지 소재 사업을 필두로 친환경 소재, 혁신신약 개발 등 3대 신성장동력에 집중 투자해 석유화학 중심... ",2023-08-12T09:54:00+09:00
LG화학,"‘2차전지’ 품은 군산, 이달부터 2000여 가구 분양 쏟아진다",https://n.news.naver.com/mnews/article/277/0005299436?sid=101,"LG화학, SK온, 성일하이텍 등 민간기업의 대규모 투자가 이뤄질 것이란 기대감 때문이다. 또 지난해 10월 재가동을 시작한 현대중공업 군산조선소는 올해 2월부터 성과를 내면서 군산 경제도 살아나고 있는 분위기다.... ",2023-08-12T08:00:00+09:00
LG화학,[이지 사이언스] 코로나19백신으로 뜬 mRNA…암·독감 등으로 영역 확장중,https://n.news.naver.com/mnews/article/001/0014127704?sid=101,위해 캐나다 소재 LNP 개발 기업 '아퀴타스 테라퓨틱스'와 LNP 기술을 도입하는 옵션 계약을 해 최근에 이 옵션을 행사했다. 삼양홀딩스와 LG화학도 mRNA 기반 항암 신약을 개발하기 위해 파트너십 계약을 진행했다.,2023-08-12T08:00:00+09:00
LG화학,[더차트] 경제기여액만 '148조'…현대차·기아 꺾은 1위 기업은?,https://n.news.naver.com/mnews/article/008/0004924588?sid=101,LG전자(66조8560억원) △5위 GS칼텍스(54조2670억원) 순이었다. △현대모비스(46조1770억원) △SK에너지(46조620억원) △LG화학(40조9500억원) △삼성물산(39조3640억원) △S-OIL(37조2920억원) 등도 10위권에 이름을 올렸다.,2023-08-12T08:00:00+09:00
LG화학,'16억→10억' 뚝 떨어지더니…마곡동 아파트값 '반등',https://n.news.naver.com/mnews/article/015/0004879231?sid=101,"게다가 LG화학 등 LG계열사, 이랜드 글로벌R&D(연구개발)센터, 코오롱생명과학 등 대기업들이 모여 있어 직주근접이 가능하다. 서울 지하철 9호선 마곡나루역 인근에 들어설 상업·업무시설 중심의 '마곡... ",2023-08-12T07:21:00+09:00
LG화학,"‘2년째 된서리’…석화업계, 불황 끝이 안 보인다",https://www.viva100.com/main/view.php?key=20230810010003067,"경기 침체로 인한 전방 수요 둔화와 중국발 공급 과잉 지속이 핵심 사유다.12일 관련 업계에 따르면 국내 석유화학기업 ‘빅4’로 불리는 LG화학, 한화솔루션, 롯데케미칼, 금호석유화학은 올해 2분기 줄줄이 초라한... ",2023-08-12T06:42:00+09:00
LG화학,다우 오르고 나스닥 휘청...테슬라 하락에 에코프로 조정 이어지나,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211873,삼성SDI LG화학 SK이노베이션 포스코홀딩스 웰크론한텍 넥스트아이 솔루스첨단소재 삼아알미늄 신성델타테크 엔시스 씨노텍 포스코퓨처엠 에코프로 포스코홀딩스 솔브레인 금양 천보 에코프로비엠 동화기업... ,2023-08-12T06:40:00+09:00
