query,title,link,description,pubdate
POSCO홀딩스,“주도주 바뀔까”…시총 상위 종목 하락하자 중소형株 ‘쑥’,https://n.news.naver.com/mnews/article/366/0000924176?sid=101,"현대차와 POSCO홀딩스도 각각 2.81%, 10.12% 하락했다. 반면, 코스피 시총 상위 10위권 밖에 있는 종목들은 크게 올랐다. 롯데관광개발이 31.53% 급등했으며 토니모리와 현대백화점도 각각 47.39%, 20.22% 올랐다. 이밖에... ",2023-08-13T15:15:00+09:00
POSCO홀딩스,배터리·반도체 압도하는 중소형주… ‘쏠림현상’ 완화 시작,http://www.skyedaily.com/news/news_view.html?ID=202096,이달 들어 삼성전자(-5.06%)·LG에너지솔루션(-1.80%)·SK하이닉스(-5.06%)·POSCO홀딩스(-7.09%)·현대차(-4.46%)·포스코퓨처엠(-13.46%)·기아(-3.60%) 등 시총 상위권 종목이 대부분 약세를 보였다. 반면 코스피 상위 10위권 밖... ,2023-08-13T14:14:00+09:00
POSCO홀딩스,2차전지 아니면 '삼전'...분산투자 나서는 개미,https://n.news.naver.com/mnews/article/014/0005056337?sid=101,"이달 개인이 가장 많이 사들인 종목은 삼성전자로 6900억원이 집중됐고, 포스코(POSCO)홀딩스가 5875억원으로 뒤를 이었다. 또 기아(2895억원)가 새로운 자동차 주도주로 떠오르면서 개인의 투자심리가 몰렸다. 올해... ",2023-08-13T11:59:00+09:00
POSCO홀딩스,'기업실적 하반기는 낫다더니'…증권가 전망치 '뚝',https://n.news.naver.com/mnews/article/374/0000347266?sid=101,"이 기간 이차전지주로 분류되는 POSCO홀딩스 추정치도 1조7천378억원에서 1조3천126억원으로 감소했으며 LG디스플레이(129억원 이익→4천715억원 손실), LG화학(1조1천362억원→8천3억원) 등도 추정치가 큰 폭으로... ",2023-08-13T11:42:00+09:00
POSCO홀딩스,코스피 주간 외국인 순매도 1위 'POSCO홀딩스',https://n.news.naver.com/mnews/article/018/0005550379?sid=101,,2023-08-13T09:02:00+09:00
POSCO홀딩스,16거래일째 내다파는 ‘셀(Sell)기금’....이차전지 폭풍 순매도,https://www.etoday.co.kr/news/view/2274661,"연기금이 집중적으로 내다판 순매도 상위 20위 종목을 보면 POSCO홀딩스(1위, -3662억 원), LG화학(9위, -649억 원), LS(11위, -562억 원)등 이차전지 관련 종목들이 11개로 전체의 절반 이상을 차지했다. 삼성전자(2위, -2520억... ",2023-08-13T07:10:00+09:00
POSCO홀딩스,"'기업실적 상저하고라더니'…증권가 전망치, 연초보다 31%↓",https://n.news.naver.com/mnews/article/001/0014128272?sid=101,"이 기간 이차전지주로 분류되는 POSCO홀딩스 추정치도 1조7천378억원에서 1조3천126억원으로 감소했으며 LG디스플레이(129억원 이익→4천715억원 손실), LG화학(1조1천362억원→8천3억원) 등도 추정치가 큰 폭으로 줄었다.... ",2023-08-13T06:01:00+09:00
POSCO홀딩스,"[산업 이슈 픽] 국내 철강사, 2분기 실적 개선… 다음목표는?",http://www.seoulwire.com/news/articleView.html?idxno=512108,"우선 포스코홀딩스는 2분기 연결기준 매출 20조1210억원, 영업이익 1조3260억원을 기록했다. 매출과... 신규 브랜드 슬로건엔 '세상에 가치를 더합니다' Green Tomorrow, with POSCO가 공개됐고 여기엔 100년 기업으로 나아가는... ",2023-08-12T17:02:00+09:00
POSCO홀딩스,대한전선 '떠나는 개인 투자자' 평단가는?…네옴시티·전선·케이블 관련주 '...,https://www.thekpm.com/news/articleView.html?idxno=168480,"반면 지오릿에너지, SNT에너지, 한국전력, 성신양회, 대우건설, 세우글로벌, S-Oil, 비엠티, LS전선아시아, POSCO홀딩스가 하락 마감했다. 전선·케이블 관련주는 총 6개 종목으로 업종 평균 1.75% 상승했다. 가온전선... ",2023-08-12T14:56:00+09:00
POSCO홀딩스,‘여의도 저승사자’ 된 금감원 조사국[최훈길의뒷담화],https://n.news.naver.com/mnews/article/018/0005550146?sid=101,지난달 25일 텔레그램에서 ‘LS(006260)가 제2의 POSCO홀딩스(005490)가 될 가능성이 있다’는 내용의 글이 확산되기 시작했습니다. LS는 시총 3조원 넘는 대형주라 30% 가까이 상한가에 간 적이 없거든요. 그런데 텔레그램에서... ,2023-08-12T14:29:00+09:00
POSCO홀딩스,"주간 코스피, 기관 순매수도 상위 10종목(11일)...호텔신라-셀트리온-한미약품",http://www.betanews.net:8080/article/1433020.html,"반면, 삼성전자, POSCO홀딩스, 기아를 집중 매도했다.© 연합뉴스. 주간(2023-08-07~2023-08-11) 코스피 시장에서 기관은 호텔신라, 셀트리온, 한미약품을 집중 매수했다. 반면, 삼성전자, POSCO홀딩스, 기아를... ",2023-08-12T10:34:00+09:00
POSCO홀딩스,"주간 코스피, 외국인 순매수도 상위 10종목(11일)...삼성전자-호텔신라- LG에...",http://www.betanews.net:8080/article/1433019.html,"반면, POSCO홀딩스, 금양, 하이브를 집중 매도했다.© 연합뉴스. 주간(2023-08-07~2023-08-11) 코스피 시장에서 외국인은 삼성전자, 호텔신라, LG에너지솔루션을 집중 매수했다. 반면, POSCO홀딩스, 금양, 하이브를... ",2023-08-12T10:32:00+09:00
POSCO홀딩스,코스피 기관 순매수도 상위 10종목(11일)...호텔신라-삼성SDI-SKC,http://www.betanews.net:8080/article/1433015.html,"반면, 삼성전자, POSCO홀딩스, 포스코인터내셔널을 집중 매도했다. © 연합뉴스. 11일 코스피 시장에서 기관은 호텔신라, 삼성SDI, SKC를 집중 매수했다. 반면, 삼성전자, POSCO홀딩스, 포스코인터내셔널을 집중... ",2023-08-12T10:22:00+09:00
POSCO홀딩스,임원도 2차전지 팔았다…다음 주도주 찾는 개미,https://n.news.naver.com/mnews/article/243/0000048711?sid=101,지난달까지만 해도 1위는 POSCO홀딩스(005490)가 차지했다. 반도체로 수급이 이동하면서 과열됐던 2차전지 쏠림 현상이 점차 사그라드는 분위기다. 2차전지가 고점을 찍으면서 차익 실현 물량이 풀린 것이 한몫했다.... ,2023-08-12T06:31:00+09:00
POSCO홀딩스,지오릿에너지 '또 팔았다' 하락세에 떠나는 투자자…리튬 관련주 광무·미래나...,https://www.thekpm.com/news/articleView.html?idxno=168426,"천보, POSCO홀딩스, 하이드로리튬, 금양이 하락 마감한 것으로 나타났다. 지오릿에너지가 속한 네옴시티 관련주는 총 24개 종목으로 업종 평균 0.38% 상승 마감했다. 비피도, 현대로템, 대한전선, 피앤씨테크... ",2023-08-12T03:02:00+09:00
POSCO홀딩스,[이엔플러스 주간 동향] 5주 하락세 '누가팔길래' 리튬 관련주 '하락세',https://www.thekpm.com/news/articleView.html?idxno=168445,"이브이첨단소재, 코스모화학, 웰크론한텍, 이엔플러스, 대보마그네틱, 리튬포어스, 성일하이텍, 에코프로, 포스코퓨처엠, 포스코엠텍, 천보, POSCO홀딩스, 하이드로리튬, 금양이 하락 마감한 것으로 나타났다.",2023-08-12T01:32:00+09:00
POSCO홀딩스,[STX 주간 동향] '누가팔길래' STX · STX엔진 · STX중공업 '수소차·방위산...,https://www.thekpm.com/news/articleView.html?idxno=168453,"제이스코홀딩스를 선두로, 티플랙스, 한국선재, STX, 대양금속, 현대비앤지스틸이 상승, 황금에스티, POSCO홀딩스, 포스코인터내셔널이 하락 마감했다. STX엔진 주봉에 따르면 STX엔진은 고가 8.18% 상승한 1만... ",2023-08-12T01:04:00+09:00
POSCO홀딩스,"[주간 동향] 이브이첨단소재 11.25% 하락, '지친 개인 또 팔았다' 리튬 관련주...",https://www.thekpm.com/news/articleView.html?idxno=168422,"이브이첨단소재, 코스모화학, 웰크론한텍, 이엔플러스, 대보마그네틱, 리튬포어스, 성일하이텍, 에코프로, 포스코퓨처엠, 포스코엠텍, 천보, POSCO홀딩스, 하이드로리튬, 금양이 하락 마감한 것으로 나타났다.",2023-08-12T00:52:00+09:00
POSCO홀딩스,코스모화학·코스모신소재 '연기금 매도폭탄' 리튬·2차전지·폐배터리 관련주...,https://www.thekpm.com/news/articleView.html?idxno=168423,"천보, POSCO홀딩스, 제이오, 에코프로비엠은 하락 마감했다. 코스모화학·코스모신소재가 속한 리튬 관련주는 총 23개 종목으로 업종 평균 1.67% 하락했다. 광무, 코스모신소재, 미래나노텍, 강원에너지, 후성이... ",2023-08-12T00:32:00+09:00
POSCO홀딩스,[에코프로·에코프로비엠 주간 동향] '누가팔길래' 2차전지下·초전도체上,https://www.thekpm.com/news/articleView.html?idxno=168452,"디에이테크놀로지, POSCO홀딩스, 에코프로비엠이 하락 마감했다. 에코프로 에코프로는 대기오염방지, 친환경소재 및 2차전지소재의 제조와 판매를 목적으로 1998년 설립되었고, 2016년 2차전지소재 사업부문을... ",2023-08-12T00:28:00+09:00
POSCO홀딩스,"뉴욕증시 비트코인 휘청 미국 PPI 물가 ""예상밖 폭발"" 연준 FOMC 금리인상",http://www.g-enews.com/ko-kr/news/article/news_all/2023081200031225994a01bf698f_1/article.html,"62%)과 POSCO홀딩스[005490](-3.51%), LG화학[051910](-1.89%), 포스코퓨처엠[003670](-2.54%) 등 이차전지주도 약세를 보여 지수에 하방 압력을 가했다. 상위 10위권에서는 삼성SDI[006400](1.77%)와 현대차[005380](1.11%)만 상승했다.... ",2023-08-12T00:10:00+09:00
POSCO홀딩스,[코스피 200] 농심 11% 상승…지수 구성종목 중 상승률 1위,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211857,31%)▲6위 에스디바이오센서 1만2560원(-4.05%)▲7위 SK바이오사이언스 8만2500원(-3.85%)▲8위 롯데관광개발 1만2850원(-3.75%)▲9위 POSCO홀딩스 57만7000원(-3.51%)▲10위 한미사이언스 3만9100원(-3.46%),2023-08-12T00:02:00+09:00
POSCO홀딩스,현대로템 '외국인 오자 개인 떠났다' 철도·방위산업·네옴시티 관련주 '상승...,https://www.thekpm.com/news/articleView.html?idxno=168367,"유바이오로직스, 한미글로벌, 두산에너빌리티, 코오롱글로벌이 상승, 효성중공업이 보합, 지오릿에너지, SNT에너지, 한국전력, 성신양회, 대우건설, 세우글로벌, S-Oil, 비엠티, LS전선아시아, POSCO홀딩스가 하락 마감했다.",2023-08-12T00:02:00+09:00
POSCO홀딩스,"[마감] LK-99검증위 ""2주내 샘플 제작·검증"" 초전도체주 '들썩'...CJ ENM '급...",https://www.asiatime.co.kr/article/20230811500247,"시가총액 상위권에서는 삼성전자(-0.74%), SK하이닉스(-2.70%), LG에너지솔루션(-1.62%), POSCO홀딩스(-3.51%), LG화학(-1.89%), 포스코퓨처엠(-2.54%) 등이 하락했다. 삼성SDI(1.77%), 현대차(1.11%), 기아(1.77%) 등 상승했다. 한국... ",2023-08-11T23:48:00+09:00
POSCO홀딩스,"코스피, 외인과 기관 매도에 하락 마감…삼성SDI, 현대차 상승 VS 포스코홀딩...",http://www.econonews.co.kr/news/articleView.html?idxno=298671,"11%)를 제외하고 하락 마감했다. POSCO홀딩스(-3.51%), SK하이닉스(-2.70%), LG화학(-1.89%), LG에너지솔루션(-1.62%), NAVER(-1.33%), 삼성전자(-0.74%), 삼성전자우(-0.53%), 삼성바이오로직스(-0.12%)는 하락 마감했다.",2023-08-11T21:32:00+09:00
POSCO홀딩스,"[11일 투자주체 동향] 외국인, 현대차·기아·모비스 순매수 상위권",http://www.g-enews.com/ko-kr/news/article/news_all/202308111801336951edf69f862c_1/article.html,"5위 POSCO홀딩스 -320억원(-5만주), 6위 NAVER -306억원(-14만주), 7위 LG화학 -140억원(-2만주), 8위 영풍제지 -115억원(-26만주), 9위 포스코퓨처엠 -115억원(-3만주), 10위 아모레G -109억원(-32만주), 11위... ",2023-08-11T18:32:00+09:00
POSCO홀딩스,“월급도 떨어져 가는데 달달하네”…매 분기 따박따박 배당 주는 곳 있다는데,https://n.news.naver.com/mnews/article/009/0005171744?sid=101,"11일 증권정보업체 Fn가이드에 따르면 삼성전자, SK하이닉스, POSCO홀딩스, 현대자동차, NAVER, KB금융, 신한지주 등 총 80여 개 상장사는 분기배당 정책을 실시하고 있다. 6년째 분기배당을 실시 중인 삼성전자의 2분기... ",2023-08-11T17:59:00+09:00
POSCO홀딩스,"코스피, 美 인플레 둔화에도 소폭 하락…2,590대로 후퇴",https://www.polinews.co.kr/news/articleView.html?idxno=616757,"62%)과 POSCO홀딩스(-3.51%), LG화학(-1.89%), 포스코퓨처엠(-2.54%) 등 이차전지주도 약세를 보여 지수에 하방 압력을 가했다. 상위 10위권에서는 삼성SDI(1.77%)와 현대차(1.11%)만 상승했다. 업종별로는 종이·목재(-3.47... ",2023-08-11T17:52:00+09:00
POSCO홀딩스,"코스피, 외인·기관 동반 매도에 2600선 깨져",http://www.enewstoday.co.kr/news/articleView.html?idxno=2028023,"POSCO홀딩스는 3%대, 포스코퓨처엠은 2%대 약세를 보였다. LG에너지솔루션, LG화학, 네이버, 카카오 등도 1%대 하락했다. 반대로 삼성SDI, 현대차, 기아, 현대모비스 등은 1%대 강세를 나타냈다. 코스닥지수는 0.91p(0.... ",2023-08-11T17:23:00+09:00
POSCO홀딩스,"코스피, 외인·기관 동반 매도에 다시 2500선",https://www.thereport.co.kr/news/articleView.html?idxno=39498,"삼성전자(-0.74%)와 LG에너지솔루션(-1.62%), SK하이닉스(-2.70%), 삼성바이오로직스(-0.12%), POSCO홀딩스(-3.51%)는 하락했다. 업종별로는 종이목재(-3.5%), 철강금속(-2.3%), 의료정밀(-2.2%), 유통업(-1.1%) 등이 약세를... ",2023-08-11T17:22:00+09:00
POSCO홀딩스,"포스코그룹, 브랜드 슬로건 공개",http://www.todayenergy.kr/news/articleView.html?idxno=263469,"도전으로 세상에 가치를 더합니다 Green Tomorrow, with POSCO'이다. 포스코그룹의 신규브랜드 슬로건에 대한 자세한 내용은 포스코홀딩스 홈페이지(www.posco-inc.com)에 신설된 '브랜드 스토리' 페이지를 통해 만나볼 수 있다.",2023-08-11T17:14:00+09:00
POSCO홀딩스,[철강株 UP&DOWN] 제이스코홀딩스 9.8% 상승…조선선재 3.5% NI스틸 3.2%,http://www.ferrotimes.com/news/articleView.html?idxno=28760,"6%, 포스코(POSCO)홀딩스 3.5%, 고려제강 3.4%, TCC스틸 3.0%, 세아제강지주 2.6%, 한국철강 1.0% 등 - 철강 빅3 : 포스코(POSCO)홀딩스 3.5% 하락, 현대제철 1.0% 하락, TCC스틸 3.0% 하락 - 주간 상승률 : 제이스코홀딩스 15.2... ",2023-08-11T17:14:00+09:00
POSCO홀딩스,"원자력, 전기만 생산?…SMR 뜨거운 열로 공장까지 돌린다",https://n.news.naver.com/mnews/article/008/0004924416?sid=105,지역자치단체는 경상북도가 참여하며 나머지 11개 기업은 △현대엔지니어링 △SK에코플랜트 △포스코홀딩스(POSCO홀딩스) △GS건설 △롯데케미칼 등이다. 현재 2050 탄소중립 달성을 위해 전 세계가 힘을 모으고 있다.... ,2023-08-11T17:11:00+09:00
POSCO홀딩스,"[오늘증시]코스피, 중국발 악재에 털썩 ""2591선 마감""...환율도 급등 1320원대...",https://www.foodneconomy.com/news/articleView.html?idxno=349222,"POSCO홀딩스(005490) -3.51%, SK하이닉스(000660) -2.7%, LG화학(051910) -1.89%, LG에너지솔루션(373220) -1.62%, NAVER(035420) -1.33%, 삼성전자(005930) -0.74%, 삼성전자우(005935) -0.53%, 삼성바이오로직스(207940) -0.12% 등은 하락했다.... ",2023-08-11T17:02:00+09:00
POSCO홀딩스,"코스피 원화 약세와 중국 부동산 리스크에 2600선 밑으로, 코스닥은 강보합",https://www.businesspost.co.kr/BP?command=article_view&num=324148,"시가총액 순으로 삼성전자(-0.74%), LG에너지솔루션(-1.62%), SK하이닉스(-2.70%), 삼성바이오로직스(-0.12%), 포스코(POSCO)홀딩스(-3.51%), 삼성전자우(-0.53%), LG화학(-1.89%), 네이버(-1.33%) 등 8개 종목 주가가 일제히 내렸다.... ",2023-08-11T17:02:00+09:00
POSCO홀딩스,외인·기관 매수세에 코스피 2600선 붕괴···2591.26 마감,https://www.asiatoday.co.kr/view.php?key=20230811010006391,"삼성전자와 SK하이닉스가 각각 0.74%·2.7% 하락했고, LG에너지솔루션(-1.62%)과 LG화학(-1.89%), 포스코퓨처엠(-2.54%), POSCO홀딩스(-3.51%) 등도 떨어졌다. 삼성SDI(1.77%)와 현대차(1.11%)만이 상승했다. 코스닥지수는... ",2023-08-11T17:00:00+09:00
POSCO홀딩스,"[마감시황] 코스피, 美 인플레 둔화속에도 소폭 하락…2,590대로 후퇴",http://www.g-enews.com/ko-kr/news/article/news_all/2023081116472351922a735e27af_1/article.html,"LG에너지솔루션(-1.62%)과 POSCO홀딩스(-3.51%), LG화학(-1.89%), 포스코퓨처엠-2.54%) 등 이차전지주도 약세를 보여 지수에 하방 압력을 가했다. 상위 10위권에서는 삼성SDI(1.77%)와 현대차(1.11%)만 상승했다. 업종별로는... ",2023-08-11T16:56:00+09:00
POSCO홀딩스,외국인·기관 '팔자' 코스피 2590대로 이차전지 동반 약세…에코프로 2%↓,http://www.smedaily.co.kr/news/articleView.html?idxno=265189,"시가총액 상위권에서 반도체 대형주인 삼성전자(-0.74%)와 SK하이닉스(-2.70%)가 동반 하락하고 LG에너지솔루션(-1.62%)과 POSCO홀딩스(-3.51%), LG화학(-1.89%), 포스코퓨처엠(-2.54%) 등 이차전지주도 약세를 보여 지수에... ",2023-08-11T16:40:00+09:00
