query,title,link,description,pubdate
SK하이닉스,"올해 경기 ‘상저하고’, 기업실적 전망에는 없다",https://n.news.naver.com/mnews/article/028/0002652134?sid=101,주요 상장사의 실적 전망치가 이처럼 줄어든 데에는 삼성전자와 에스케이(SK)하이닉스의 반도체 사업 부진이 큰 영향을 미쳤다. 연초만 해도 증권가는 삼성전자의 올해 3분기 영업이익을 7조8158억원으로... ,2023-08-13T16:21:00+09:00
SK하이닉스,K반도체 기술력 뽐낸 국내 팹리스…FMS2023서 활약,https://n.news.naver.com/mnews/article/030/0003125683?sid=105,SK하이닉스와 삼성전자가 올해 행사에서 각각 321단 낸드 샘플과 8세대 V낸드 기반 데이터센터용 솔리드스테이트드라이브(SSD)를 공개했다. 국내 주요 반도체 설계기업(팹리스)도 FMS에서 차세대 메모리 솔루션을... ,2023-08-13T16:02:00+09:00
SK하이닉스,HBM3가 쏘아올린 차세대 메모리 혈투..삼성·SK '2파전' 압축,https://n.news.naver.com/mnews/article/014/0005056410?sid=101,"고대역폭메모리(HBM)-프로세싱인메모리(PIM), 컴퓨트 익스프레스 링크(CXL) 등 반도체 업계의 차세대 메모리 솔루션 개발 경쟁 구도가 삼성전자와 SK하이닉스로 압축되고 있다. 특히, 생성형 인공지능(AI) 성장세에... ",2023-08-13T16:01:00+09:00
SK하이닉스,"고대역폭 메모리(HBM), 미래 고성능 메모리 표준 될까? [고든 정의 TECH+]",https://n.news.naver.com/mnews/article/081/0003384518?sid=105,"HBM은 사실상 SK 하이닉스와 삼성전자가 시장을 양분하고 있습니다. 시장 조사기관의 분석에 따르면 지난해 시장 점유율은 SK 하이닉스가 50%, 삼성전자가 40%, 마이크론이 10% 정도로 D램보다 더 국내 기업이... ",2023-08-13T15:41:00+09:00
SK하이닉스,“주도주 바뀔까”…시총 상위 종목 하락하자 중소형株 ‘쑥’,https://n.news.naver.com/mnews/article/366/0000924176?sid=101,"이달 들어 삼성전자는 3.30% 하락했고, SK하이닉스와 LG에너지솔루션은 각각 6.56%, 2.32% 내렸다. 현대차와 POSCO홀딩스도 각각 2.81%, 10.12% 하락했다. 반면, 코스피 시총 상위 10위권 밖에 있는 종목들은 크게 올랐다.... ",2023-08-13T15:15:00+09:00
SK하이닉스,“네이버 주가 20% 넘게 올랐는데···카카오는 왜 이지경입니까”,https://n.news.naver.com/mnews/article/032/0003242314?sid=101,"당시 시가총액(시총)은 75조원대로 급등하면서 경쟁사 네이버를 제쳤음은 물론 삼성전자, SK하이닉스 다음 가는 수준으로 급성장하기도 했다. 카카오의 현재 시총은 22조9285억원으로 당시보다 10계단 내려간 13위다.... ",2023-08-13T14:52:00+09:00
SK하이닉스,배터리·반도체 압도하는 중소형주… ‘쏠림현상’ 완화 시작,http://www.skyedaily.com/news/news_view.html?ID=202096,이달 들어 삼성전자(-5.06%)·LG에너지솔루션(-1.80%)·SK하이닉스(-5.06%)·POSCO홀딩스(-7.09%)·현대차(-4.46%)·포스코퓨처엠(-13.46%)·기아(-3.60%) 등 시총 상위권 종목이 대부분 약세를 보였다. 반면 코스피 상위 10위권 밖... ,2023-08-13T14:14:00+09:00
SK하이닉스,막 내린 '잼버리'→안갯속 '부산엑스포'…다시 뛰는 재계,https://n.news.naver.com/mnews/article/018/0005550513?sid=101,"LG는 서울 마곡 LG사이언스파크 내 이노베이션갤러리 견학과 스마트팩토리 투어를, SK하이닉스는 이천과 청주 사업장에서 팹(공장) 윈도우 투어를 진행했다. 그러나 마음은 편치 않다. 이번 잼버리 논란이 부산엑스포... ",2023-08-13T14:13:00+09:00
SK하이닉스,'반도체 드라이브'에…반도체 계약학과 합격선 의대 '턱밑',https://n.news.naver.com/mnews/article/011/0004225940?sid=102,13일 종로학원이 대입정보포털 ‘어디가’에 공개한 2023학년도 정시모집 합격선(상위 70% 컷 기준)을 분석한 결과에 따르면 삼성전자와 SK하이닉스 반도체 계약학과의 2023학년도 정시 합격선이 전년 대비 모두... ,2023-08-13T14:09:00+09:00
SK하이닉스,"삼성·SK, 저전력 D램 개발 경쟁…AI 수요 잡는다",https://n.news.naver.com/mnews/article/293/0000046889?sid=105,삼성전자와 SK하이닉스가 차세대 저전력더블데이터레이트(LPDDR) 개발에 속도를 내고 있다. 해당 제품은 스마트폰에 주로 탑재하는 D램 규격이다. 전력 소모를 최소화하기 위한 저전압 특성을 갖췄다. 최신... ,2023-08-13T12:38:00+09:00
SK하이닉스,인플레 우려에 당분간 박스권...테마주 장세 지속 [주간증시전망],https://n.news.naver.com/mnews/article/014/0005056355?sid=101,"중국 PPI가 마이너스지만 반전했고, 저점 형성 가능성이 있다. 단기적으로 중국 PPI 반전시 영업이익률 개선 기대가 높아질 수 있는 SK하이닉스, SK이노베이션, 금호석유 등에 관심을 가질 필요가 있다""고 조언했다.",2023-08-13T12:36:00+09:00
SK하이닉스,한풀 꺾인 이차전지…바이오·화장품株 뜬다,https://n.news.naver.com/mnews/article/215/0001119014?sid=101,"이달 들어 시총 상위권인 삼성전자(-5.06%), LG에너지솔루션(-1.80%), SK하이닉스(-5.06%), 포스코홀딩스(-7.09%), 현대차(-4.46%), 포스코퓨처엠(-13.46%), 기아(-3.60%) 등은 모두 약세를 보였으나, 코스피 상위 10위권 밖... ",2023-08-13T12:29:00+09:00
SK하이닉스,"“높게 쌓으면 도대체 뭐가 좋을까” 삼성·SK, HBM 이어 ‘이걸’로 또 맞붙...",https://n.news.naver.com/mnews/article/016/0002182890?sid=101,제일 높게 쌓았다.”(SK하이닉스) “단수가 중요한게 아냐. 성능과 저장용량이 핵심.” (삼성전자) 최근 때 아닌 ‘적층 경쟁’이 벌어지는 분야가 있습니다. 바로 낸드플래시 제품입니다. 차세대 기술력을 둘러싼... ,2023-08-13T12:02:00+09:00
SK하이닉스,'기업실적 하반기는 낫다더니'…증권가 전망치 '뚝',https://n.news.naver.com/mnews/article/374/0000347266?sid=101,특히 삼성전자와 SK하이닉스 등 반도체 대형사가 하향 조정의 주요인이 됐습니다. 연초만 해도 증권가는 삼성전자의 올해 3분기 영업이익을 7조8천158억원으로 예상했으나 최근 시장 눈높이는 2조8천918억원으로... ,2023-08-13T11:42:00+09:00
SK하이닉스,[SK그룹 주간동향] 주간 시가총액 3조8000억 감소...SK렌터카·SK네트웍스 강...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212005,97%)▲16위 SK바이오사이언스 8만2500원(-2.37%)▲17위 SK 15만1100원(-2.83%)▲18위 SK오션플랜트 2만1450원(-3.38%)▲19위 SK하이닉스 11만5300원(-4%)▲20위 SK리츠 4320원(-5.88%)▲21위 SK이노베이션 19만500원(-6.16%),2023-08-13T11:06:00+09:00
