query,title,link,description,pubdate
삼성SDI,이재용 '복권 1년'…글로벌 행보·초격차 투자로 '뉴삼성' 속도,https://n.news.naver.com/mnews/article/011/0004225964?sid=101,"삼성전자와 삼성디스플레이, 삼성SDI, 삼성전기 등 주요 계열사는 향후 10년간 충청·영남·호남 등에 위치한 주요 사업장을 중심으로 제조업 핵심 분야에 총 60조 1000억 원을 투자할 계획이다. 여기에 인공지능(AI), 로봇... ",2023-08-13T15:16:00+09:00
삼성SDI,실적 엇갈린 배터리 소재…양극재·동박 울고 분리막 웃고,https://n.news.naver.com/mnews/article/029/0002819130?sid=101,WCP는 최근 삼성SDI와 5년간 분리막 공급 계약을 맺었다. SKIET도 SK온과 5년간 분리막 공급 계약을 맺었다고 최근 공시했다. SKIET는 6월에도 북미와 기타 해외 지역을 대상으로 7년간 분리막을 공급하는 계약을 맺었다고... ,2023-08-13T15:08:00+09:00
삼성SDI,박태성 배터리協 부회장 “글로벌 공급망 규제 총력 대응”,https://n.news.naver.com/mnews/article/030/0003125674?sid=105,"회원지원실 등 3개실을 중심으로 하는 조직개편을 단행했다. 회장사인 LG에너지솔루션을 비롯해 삼성SDI, SK온, 포스코퓨처엠 등 13개 회원사가 조성한 특별기금을 바탕으로 사무공간 확장과 환경 개선 프로젝트도 마쳤다.",2023-08-13T15:02:00+09:00
삼성SDI,"권영수의 배터리協, 민관 '가교' 강화…한국판 IRA 입법 총력",https://n.news.naver.com/mnews/article/018/0005550529?sid=101,오는 10월 제주도에서 국내 배터리 3사(LG에너지솔루션·삼성SDI·SK온)와 함께 ‘배터리 정부 R&D 개발자 포럼’을 열고 폐배터리 재활용 등 순환 경제 방안에 대해서도 논의할 방침이다. 가장 시급한 문제인 인력 양성에도... ,2023-08-13T15:01:00+09:00
삼성SDI,"배터리협회 ""배터리업계 재원조달 하반기 숨통""",https://n.news.naver.com/mnews/article/003/0012028871?sid=101,"LG에너지솔루션, 삼성SDI, SK온 등 국내 배터리 기업은 현재 유럽·미국 등에서 공장을 대규모로 신·증설하고 있다. 전기차 시대에 발맞춰 향후 증가할 고객사의 배터리 주문량을 원활하게 공급하기 위해서다. 그러나 국내... ",2023-08-13T15:01:00+09:00
삼성SDI,“덕분에 일할 맛 나요” 권영수 LG엔솔 부회장이 힘쓴 이곳,https://n.news.naver.com/mnews/article/119/0002739549?sid=101,삼성SDI를 발제자로 선정해 국내 원로 연구자 모임을 주최하고 공학한림원에서 최초로 배터리 포럼을 개최해 지식재산권 중요성을 알렸다. 지난 달에는 배터리3사(LG에너지솔루션·SK온·삼성SDI) 등이 가입된... ,2023-08-13T15:00:00+09:00
삼성SDI,"배터리협회 ""공급망 세제 혜택·금융 지원""...자금 조달 '청신호'",http://www.newspim.com/news/view/20230811000655,"경기침체와 고금리에도 배터리 업황이 좋아지면서 배터리 3사(LG에너지솔루션·삼성SDI·SK온)는 대규모 설비 증설을 위한 투자금 확보에 사활을 걸고 있다. 이에 각사마다 내부 보유자금 활용부터 기업공개(IPO), 외부... ",2023-08-13T15:00:00+09:00
삼성SDI,[ET톡] 배터리 불확실성은 걷히지 않았다,https://n.news.naver.com/mnews/article/030/0003125638?sid=105,"LG에너지솔루션·삼성SDI·SK온 등 국내 배터리 3사의 올 상반기 영업이익 합계는 1조4432억원으로 전년 동기(6058억원) 대비 138.2% 급증했다. LG에너지솔루션과 삼성SDI 영업이익은 늘었고, SK온 적자 규모는 줄었다.... ",2023-08-13T14:37:00+09:00
삼성SDI,"특별사면 1년 이재용, 글로벌 행보 가속에도 사법 리스크 여전",https://www.asiatime.co.kr/article/20230813500024,"이와 함께 삼성전자와 삼성디스플레이, 삼성SDI, 삼성전기 등 주요 계열사는 향후 10년간 충청·영남·호남 등에 위치한 주요 사업장을 중심으로 제조업 핵심 분야에 총 60조1000억원을 투자할 계획이다. 지역 산업... ",2023-08-13T14:18:00+09:00
삼성SDI,배터리 소재 실적서 분리막만 '선방'…중장기 성장성도 확보,https://n.news.naver.com/mnews/article/374/0000347271?sid=101,"WCP는 최근 삼성SDI와 5년간 분리막 공급 계약을 맺었습니다. 계약 가격은 밝히지 않았으나, SNE리서치는 계약 규모가 약 40억달러(약 5조1천억원)에 달할 것으로 추산됐습니다. SKIET도 SK온과 5년간 분리막 공급 계약을... ",2023-08-13T14:05:00+09:00
