query,title,link,description,pubdate
삼성바이오로직스,"스위스 론자, 글로벌 CDMO 1위 수성…삼바는 바짝 뒤쫓아, 수주경쟁 치열 전망",https://n.news.naver.com/mnews/article/029/0002819136?sid=105,"국내 1위 CDMO기업인 삼성바이오로직스는 2023년 상반기 연결 기준 매출 1조5871억원, 영업이익 4452억원을 기록했다. 삼성바이오로직스는 4공장 매출이 3분기 실적에 본격 반영되기 시작하면서 하반기에도 성장세를... ",2023-08-13T15:47:00+09:00
삼성바이오로직스,'근로자 안전 챙기기' 민관 합동 점검,https://www.incheonilbo.com/news/articleView.html?idxno=1206874,"▲ 지난 11일 고용노동부, 삼성바이오로직스가 회사 협력업체에 혹서기 물품을 전달했다. /사진제공=삼성바이오로직스 삼성바이오로직스와 고용노동부는 삼성바이오로직스의 사내 협력사 및 지역 사회 안전 문화 확산을... ",2023-08-13T15:44:00+09:00
삼성바이오로직스,[CEO포커스] 독자 액티브 ETF 브랜드 승부수… 민수아 대표의 도전,https://n.news.naver.com/mnews/article/417/0000941889?sid=101,"그는 상품 경쟁력과 관련해 ""현재 패시브 ETF는 시가총액의 경우 삼성바이오로직스, 셀트리온의 비중이 40%가 넘어 두 종목의 주가에 따라 수익률이 결정되는 구조지만 액티브 ETF는 종목·비중을 결정할 수 있어... ",2023-08-13T11:36:00+09:00
삼성바이오로직스,韓 젊은층 대장암 발병률 1위… 바이오 중에서도 ‘암 관련주’ 고공행진,https://n.news.naver.com/mnews/article/366/0000924132?sid=101,"바이오 대형주로 분류되는 셀트리온, SK바이오팜, 삼성바이오로직스도 같은 기간 4.66%, 5.93%, 1.14% 올랐다. 허혜민 키움증권 연구원은 “제약·바이오 업종이 호재를 기다리고 있다”며 “기술 거래를 활성화하고... ",2023-08-13T11:34:00+09:00
삼성바이오로직스,[삼성그룹 주간동향] 주간 시가총액 2조9100억 감소...호텔신라 주간 상승률 ...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212003,67%)▲9위 삼성바이오로직스 80만1000원(0.63%)▲10위 삼성에스디에스 13만5200원(0.45%)▲11위 삼성FN리츠 5020원(0%)▲12위 삼성증권 3만6400원(-0.27%)▲13위 삼성SDI 63만3000원(-0.31%)▲14위 제일기획 1만9190원(-0.... ,2023-08-13T11:02:00+09:00
삼성바이오로직스,"'바이오를 주목하라' 자산운용사, 관련 ETF 속속 출시",http://www.shinailbo.co.kr/news/articleView.html?idxno=1745144,"국내시장의 경우, 바이오 헬스케어의 성장성에 주목한 외국인들은 △SK바이오팜(357억원) △삼성바이오로직스(268억원) △셀트리온헬스케어(241억원) 등을 집중 매수하고 나섰다. 국내 주식 시장에는 바이오 ETF가 속속... ",2023-08-13T10:40:00+09:00
삼성바이오로직스,바이오 ETF 연이은 상장…뭉칫돈 몰리며 '시선집중',https://www.mediapen.com/news/view/845725,포함된 종목들을 보면 유한양행(8.05%)삼성바이오로직스(7.70%)SK바이오팜(6.71%)셀트리온헬스케어(6.00%)알테오젠(5.14%)제이엘케이(4.39%) 등의 종목 선정이 눈에 띈다. 이번 액티브 ETF의 상장은 바이오 섹터 자체에 대한... ,2023-08-13T10:10:00+09:00
삼성바이오로직스,"'성장산업' 바이오, 인력난 심각…""뺏기고 빼앗고"" 전쟁 중",https://n.news.naver.com/mnews/article/003/0012028415?sid=102,"대표적으로 바이오의약품 위탁개발생산(CDMO)란 동일한 사업모델을 가진 삼성바이오로직스와 롯데바이오로직스의 인력분쟁이 법적 대응으로 이어지면서, 첨예한 인재 전쟁을 촉발했다. 13일 관련업계에 따르면... ",2023-08-13T10:02:00+09:00
삼성바이오로직스,"잼버리 12일간의 대장정 마무리…""오히려 더 특별한 경험""",https://daily.hankooki.com/news/articleView.html?idxno=988506,"서울 여의도와 광화문에서는 2520여 명의 대원들이 '웰컴 서울 댄스 나이트'에 참여해 음악과 춤으로 우정을 나눴고, 현대·기아자동차, 삼성바이오로직스, 셀트리온 등 국내 주요기업을 찾아 생산공정 체험, 연구소 견학... ",2023-08-13T09:08:00+09:00
삼성바이오로직스,[바이오 K-뉴딜 주간동향] 한미약품 한주간 12.86% 올라 주간 상승률 상위권,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211962,1위 한미약품 32만9000원(12.86%)▲2위 셀트리온헬스케어 7만2300원(6.48%)▲3위 셀트리온 15만6500원(3.85%)▲4위 셀트리온제약 9만2100원(3.6%)▲5위 유한양행 7만5700원(2.99%)▲6위 삼성바이오로직스 80만1000원(0.63... ,2023-08-13T08:10:00+09:00
