query,title,link,description,pubdate
삼성전자,"""카톡·셀카 2초면 OK""…MZ도 반했다는 '갤Z5 플립' 써보니 [조아라의 IT's f...",https://n.news.naver.com/mnews/article/015/0004879337?sid=105,삼성전자가 11일 공식 출시한 갤럭시Z플립5 폴더블폰이 최근 2030 세대 사이에서 인기다. 지난 1일부터 일주일간 진행한 사전예약 기간 2030세대를 중심으로 과반 이상이 '플립5'을 선택했다. 전작보다 출고가가 소폭... ,2023-08-13T16:21:00+09:00
삼성전자,"올해 경기 ‘상저하고’, 기업실적 전망에는 없다",https://n.news.naver.com/mnews/article/028/0002652134?sid=101,주요 상장사의 실적 전망치가 이처럼 줄어든 데에는 삼성전자와 에스케이(SK)하이닉스의 반도체 사업 부진이 큰 영향을 미쳤다. 연초만 해도 증권가는 삼성전자의 올해 3분기 영업이익을 7조8158억원으로... ,2023-08-13T16:21:00+09:00
삼성전자,"공정위, 다음달 '삼성에 갑질' 미국 브로드컴 제재 심의",http://www.seoulwire.com/news/articleView.html?idxno=512170,공정거래위원회가 다음 달 삼성전자에 장기 계약을 강요한 미국 반도체기업 브로드컴의 제재 여부와 수위를 결정한다. 사진=연합뉴스 제공 공정거래위원회가 다음 달 삼성전자에 장기 계약을 강요한 미국 반도체기업... ,2023-08-13T16:10:00+09:00
삼성전자,제주도 당일배송 서비스…대구창경센터 c-lab출신 눈길,http://www.idaegu.com/newsView/idg202308130089,"대구창조경제혁신센터가 삼성전자, 대구시와 함께 육성한 C-Lab 액셀러레이팅 14기 위밋모빌리티는 제주로지스틱스와 협업을 통해 제주도 내 당일배송 서비스 ‘제주오늘’을 다음달 출시한다. ‘제주오늘’은... ",2023-08-13T16:06:00+09:00
삼성전자,[사설]중국 저가 TV 가볍게 봐선 안돼,https://n.news.naver.com/mnews/article/030/0003125685?sid=110,"98형 4K 미니LED 모델을 기준으로 하이센스와 TCL가 판매하는 가격은 각각 삼성전자의 5분의 1, 절반 수준이다. 중국 TV 제조사의 저가 공세로 글로벌 초대형 TV 시장을 주도하는 삼성전자·LG전자 입지가 위축되지 않을... ",2023-08-13T16:02:00+09:00
삼성전자,K반도체 기술력 뽐낸 국내 팹리스…FMS2023서 활약,https://n.news.naver.com/mnews/article/030/0003125683?sid=105,SK하이닉스와 삼성전자가 올해 행사에서 각각 321단 낸드 샘플과 8세대 V낸드 기반 데이터센터용 솔리드스테이트드라이브(SSD)를 공개했다. 국내 주요 반도체 설계기업(팹리스)도 FMS에서 차세대 메모리 솔루션을... ,2023-08-13T16:02:00+09:00
삼성전자,HBM3가 쏘아올린 차세대 메모리 혈투..삼성·SK '2파전' 압축,https://n.news.naver.com/mnews/article/014/0005056410?sid=101,"고대역폭메모리(HBM)-프로세싱인메모리(PIM), 컴퓨트 익스프레스 링크(CXL) 등 반도체 업계의 차세대 메모리 솔루션 개발 경쟁 구도가 삼성전자와 SK하이닉스로 압축되고 있다. 특히, 생성형 인공지능(AI) 성장세에... ",2023-08-13T16:01:00+09:00
삼성전자,"서희건설, 평택단지 출퇴근에 '딱'… 교육환경도 '굿'",https://n.news.naver.com/mnews/article/009/0005172110?sid=101,"단지가 삼성전자 평택캠퍼스, 송탄일반산업단지 등과 가깝기 때문이다. 이에 직주근접 효과를 누릴 것으로 전망된다. 아울러 삼성전자 평택캠퍼스는 지난해 완공된 3라인을 가동한 데 이어 내년 상반기 가동을... ",2023-08-13T16:00:00+09:00
삼성전자,"삼성전자, 갤럭시S23서 '원UI 6' 베타테스트",http://www.shinailbo.co.kr/news/articleView.html?idxno=1745359,삼성전자가 갤럭시 스마트폰의 새로운 사용자 경험을 위해 'One UI 6'의 베타 프로그램을 운영한다. 삼성전자는 갤럭시 S23 시리즈 사용자들을 대상으로 안드로이드 14 기반의 'One UI 6' 베타 프로그램을 시작한다고 13일... ,2023-08-13T15:58:00+09:00
삼성전자,"갤럭시 S23 시리즈 대상, 삼성전자…One UI 6 베타 프로그램 실시",https://idsn.co.kr/news/view/1065583006825289,"▲ 간결해진 디자인과 개선된 사용을 지원하는 One UI 6 이미지./사진=삼성전자 삼성전자는 갤럭시 S23 시리즈 사용자들을 대상으로 안드로이드 14 기반의 ‘One UI 6’ 베타 프로그램을 한국, 미국, 독일에서 시작한다고... ",2023-08-13T15:58:00+09:00
