query,title,link,description,pubdate
삼성전자우,[비즈토크<하>] '초반 돌풍' 갤Z플립5 vs '공개 임박' 아이폰15…스마트폰 시...,https://n.news.naver.com/mnews/article/629/0000232622?sid=101,"삼성전자의 폴더블(접었다 펴는)폰 신제품 '갤럭시Z플립5·폴드5'가 출시됐죠. 이에 뒤질세라 애플의... 차량 좌∙우 C필러에 '히든타입 어시스트 핸들'을 적용해 루프랙 이용 시 편의성을 높였고, 대형 테일게이트를... ",2023-08-13T00:04:00+09:00
삼성전자우,"코스피, 외인과 기관 매도에 하락 마감…삼성SDI, 현대차 상승 VS 포스코홀딩...",http://www.econonews.co.kr/news/articleView.html?idxno=298671,"11%)를 제외하고 하락 마감했다. POSCO홀딩스(-3.51%), SK하이닉스(-2.70%), LG화학(-1.89%), LG에너지솔루션(-1.62%), NAVER(-1.33%), 삼성전자(-0.74%), 삼성전자우(-0.53%), 삼성바이오로직스(-0.12%)는 하락 마감했다.",2023-08-11T21:32:00+09:00
삼성전자우,"[11일 투자주체 동향] 외국인, 현대차·기아·모비스 순매수 상위권",http://www.g-enews.com/ko-kr/news/article/news_all/202308111801336951edf69f862c_1/article.html,"1위 삼성전자 -1189억원(-176만주), 2위 금양 -601억원(-45만주), 3위 SK하이닉스 -474억원(-41만주), 4위 포스코인터내셔널 -439억원(-50만주), 5위 POSCO홀딩스 -320억원(-5만주), 6위 NAVER -306억원(-14만주), 7위... ",2023-08-11T18:32:00+09:00
삼성전자우,"코스피 원화 약세와 중국 부동산 리스크에 2600선 밑으로, 코스닥은 강보합",https://www.businesspost.co.kr/BP?command=article_view&num=324148,"시가총액 순으로 삼성전자(-0.74%), LG에너지솔루션(-1.62%), SK하이닉스(-2.70%), 삼성바이오로직스(-0.12%), 포스코(POSCO)홀딩스(-3.51%), 삼성전자우(-0.53%), LG화학(-1.89%), 네이버(-1.33%) 등 8개 종목 주가가 일제히 내렸다.... ",2023-08-11T17:02:00+09:00
삼성전자우,"[오늘증시]코스피, 중국발 악재에 털썩 ""2591선 마감""...환율도 급등 1320원대...",https://www.foodneconomy.com/news/articleView.html?idxno=349222,"POSCO홀딩스(005490) -3.51%, SK하이닉스(000660) -2.7%, LG화학(051910) -1.89%, LG에너지솔루션(373220) -1.62%, NAVER(035420) -1.33%, 삼성전자(005930) -0.74%, 삼성전자우(005935) -0.53%, 삼성바이오로직스(207940) -0.12% 등은 하락했다.... ",2023-08-11T17:02:00+09:00
삼성전자우,"코스피, 미국 인플레 둔화에도 소폭 하락…외인 기아·현대모비스·SKC 등 순...",http://www.topstarnews.net/news/articleView.html?idxno=15380807,"또한 외인 순매도 상위 종목은 삼성전자(1,189억원), 에코프로(777억원), 금양(601억원), SK하이닉스(469억원), 포스코인터내셔널(439억원), 포스코홀딩스(323억원), 네이버(306억원), 포스코DX(200억원), 엘앤에프... ",2023-08-11T16:30:00+09:00
삼성전자우,"[데이터로 보는 증시]호텔신라·기아, 기관·외국인 코스피 순매수 1위(8월 1...",https://n.news.naver.com/mnews/article/011/0004225578?sid=101,"순매도 상위 종목은 삼성전자(514억원)를 비롯해 POSCO홀딩스(331억원), 포스코인터내셔널(198억원), LG화학(106억원), 한화오션(042660)(106억원), 한미반도체(042700)(86억원), 아모레퍼시픽(83억원)... ",2023-08-11T16:27:00+09:00
삼성전자우,"코스피, 中 리스크에 하락마감…환율도 급등[시황종합]",https://n.news.naver.com/mnews/article/421/0006986267?sid=101,"POSCO홀딩스(005490) -3.51%, SK하이닉스(000660) -2.7%, LG화학(051910) -1.89%, LG에너지솔루션(373220) -1.62%, NAVER(035420) -1.33%, 삼성전자(005930) -0.74%, 삼성전자우(005935) -0.53%, 삼성바이오로직스(207940) -0.12% 등은 하락했다.... ",2023-08-11T16:15:00+09:00
삼성전자우,[11일 마감시황] 코스피 수출 감소 소식에 하락…2591.26 마감,http://www.newsworks.co.kr/news/articleView.html?idxno=724145,시가총액 상위 10개 종목 중 ▲삼성SDI(1.77%) ▲현대차(1.11%) 등은 상승한 반면 ▲삼성전자(-0.74%) ▲LG에너지솔루션(-1.62%) ▲SK하이닉스(-2.70%) ▲삼성바이오로직스(-0.12%) ▲POSCO홀딩스(-3.51%) ▲삼성전자우(-0.... ,2023-08-11T16:14:00+09:00
삼성전자우,"[시황] 코스피, 외인·기관 팔자에 2600선 깨졌다…코스닥은 상승",https://n.news.naver.com/mnews/article/629/0000232514?sid=101,시가총액 상위 10개 종목 중에서는 △삼성전자(-0.74%) △LG에너지솔루션(-1.62%) △SK하이닉스(-2.70%) △삼성바이오로직스(-0.12%) △POSCO홀딩스(-3.51%) △삼성전자우(-0.53%) △LG화학(-1.89%) △NAVER(-1.33%)는... ,2023-08-11T16:00:00+09:00
