query,title,link,description,pubdate
셀트리온제약,[코스피 200 주간동향] 코스맥스 주간 27.74% 급등…구성종목 중 주간 상승률...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211963,16%)▲4위 셀트리온제약 9만2100원(3.6%)▲9위 한진칼 4만8950원(13.97%)▲10위 농심 45만9000원(13.9%) 코스피200 지수 구성종목 중 주간 하락률 상위 종목은 다음과 같다. 1위 금양 12만9900원(-16.41%)▲2위... ,2023-08-13T08:14:00+09:00
셀트리온제약,[바이오 K-뉴딜 주간동향] 한미약품 한주간 12.86% 올라 주간 상승률 상위권,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211962,1위 한미약품 32만9000원(12.86%)▲2위 셀트리온헬스케어 7만2300원(6.48%)▲3위 셀트리온 15만6500원(3.85%)▲4위 셀트리온제약 9만2100원(3.6%)▲5위 유한양행 7만5700원(2.99%)▲6위 삼성바이오로직스 80만1000원(0.63... ,2023-08-13T08:10:00+09:00
셀트리온제약,이차전지 가고 '바이오' 왔나…훈풍에 특화 ETF도 '속속',https://www.news2day.co.kr/article/20230811500014,"해당 기간 순매수 상위 종목에는 셀트리온제약(295억원)와 셀트리온헬스케어(229억원), 휴온스(80억원), 바이오니아(63억원) 등 제약·바이오 종목들이 다수 이름을 올렸다. 반면 지난달 순매수 상위 종목에 포함됐던... ",2023-08-13T08:06:00+09:00
셀트리온제약,[에이프로젠 주간 동향] '누가사길래' 거래량 1억 '돌파' 에이프로젠·에이프...,https://www.thekpm.com/news/articleView.html?idxno=168478,"에이프로젠은 선두로 이수앱지스, 셀트리온헬스케어, 동아에스트, 셀트리온제약, 팬젠, 삼성물산, 서린바이오, 셀트리온이 상승, 바이넥스가 보합, 삼성바이오로직스, 알테오젠, 삼천당제약, 녹십자가 하락... ",2023-08-12T13:56:00+09:00
셀트리온제약,[바이오 K-뉴딜] 셀트리온헬스케어 2.12% 올라 상승률 상위권,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211856,"셀트리온헬스케어 뒤를 이어 셀트리온제약, 셀트리온 종목도 각각 1.32%, 0.26%씩 상승해 상승률 상위권에 이름을 올렸다. 한편, SK바이오팜은 -5.02%를 기록해 KRX 바이오 K-뉴딜지수 구성종목 중 가장... ",2023-08-12T00:02:00+09:00
셀트리온제약,"[마감] LK-99검증위 ""2주내 샘플 제작·검증"" 초전도체주 '들썩'...CJ ENM '급...",https://www.asiatime.co.kr/article/20230811500247,"시총 상위권에서는 셀트리온헬스케어(2.12%), JYP Ent.(1.97%), 펄어비스(2.48%), 셀트리온제약(1.32%), 에스엠(0.15%) 등은 올랐다.에코프로비엠(-4.15%), 에코프로(-2.49%), 엘앤에프(-2.41%), 포스코DX(-6.97%), HLB(-0.64%) 등은... ",2023-08-11T23:48:00+09:00
셀트리온제약,"코스닥, 개인 매수에 상승 마감…펄어비스, 셀트리온헬스케어 상승 VS 포스코...",http://www.econonews.co.kr/news/articleView.html?idxno=298672,"펄어비스(2.48%), 셀트리온헬스케어(2.12%), JYP Ent.(1.97%), 셀트리온제약(1.32%), 에스엠(0.15%)은 상승 마감했다. 이에 반해 포스코DX(-6.97%), 에코프로비엠(-4.15%), 에코프로(-2.49%), 엘앤에프(-2.41%), HLB(-0.64%)는... ",2023-08-11T21:32:00+09:00
셀트리온제약,"코스피, 외국인 매도세에 하락…2591.26 마감",https://biz.newdaily.co.kr/site/data/html/2023/08/11/2023081100214.html,"시총 상위 종목인 펄어비스(2.48%), 셀트리온제약(1.32%), 셀트리온헬스케어(2.12%)는 상승했다. 에코프로(-2.49%), 에코프로비엠(-4.15%), 엘앤에프(-2.41%), 포스코DX(-6.97%), HLB(-0.64%)는 하락했다. 원·달러 환율은... ",2023-08-11T18:42:00+09:00
셀트리온제약,"[11일 투자주체 동향] 외국인, 현대차·기아·모비스 순매수 상위권",http://www.g-enews.com/ko-kr/news/article/news_all/202308111801336951edf69f862c_1/article.html,"8위 셀트리온제약 50억원(5만주), 9위 파라다이스 48억원(28만주), 10위 티로보틱스 45억원(16만주), 11위 에스앤에스텍 43억원(9만주), 12위 펄어비스 43억원(7만주), 13위 보로노이 40억원(5만주), 14위... ",2023-08-11T18:32:00+09:00
셀트리온제약,"코스피, 외인·기관 동반 매도에 다시 2500선",https://www.thereport.co.kr/news/articleView.html?idxno=39498,"시총 상위 종목 중에서는 셀트리온헬스케어(2.12%)와 JYP 엔터테인먼트(1.97%), 펄어비스(2.48%), 셀트리온제약(1.32%), 에스엠(0.15%)이 올랐다. 에코프로비엠(-4.15%), 에코프로(-2.49%), 엘앤에프(-2.41%)는... ",2023-08-11T17:22:00+09:00
셀트리온제약,"[오늘증시]코스피, 중국발 악재에 털썩 ""2591선 마감""...환율도 급등 1320원대...",https://www.foodneconomy.com/news/articleView.html?idxno=349222,"코스닥 시가총액 상위 10개 종목 중 펄어비스(263750) 2.48%, 셀트리온헬스케어(091990) 2.12%, JYP Ent.(035900) 1.97%, 셀트리온제약(068760) 1.32%, 에스엠(041510) 0.15% 등은 상승했다. 포스코DX(022100) -6.97%, 에코프로비엠... ",2023-08-11T17:02:00+09:00
셀트리온제약,"코스피 원화 약세와 중국 부동산 리스크에 2600선 밑으로, 코스닥은 강보합",https://www.businesspost.co.kr/BP?command=article_view&num=324148,"97%) 주가도 이날 7% 가까이 내렸다. HLB(-0.64%) 주가도 약세를 기록했다. 반면 셀트리온헬스케어(2.12%), JYP엔터테인먼트(1.97%), 펄어비스(2.48%), 셀트리온제약(1.32%), 에스엠(0.15%) 주가는 상승했다.",2023-08-11T17:02:00+09:00
셀트리온제약,외인·기관 매수세에 코스피 2600선 붕괴···2591.26 마감,https://www.asiatoday.co.kr/view.php?key=20230811010006391,"반면 펄어비스(2.48%), 셀트리온제약(1.32%), 셀트리온헬스케어(2.12%)는 상승 마감했다.이날 서울 외환시장에서 원·달러 환율은 전 거래일(1316.0원)보다 8.9원 오른 1324.9원에 마감했다. 김성훈",2023-08-11T17:00:00+09:00
셀트리온제약,"코스피, 中증시 급락에 2600선 붕괴",http://www.goodkyung.com/news/articleView.html?idxno=214503,"펄어비스(2.48%)와 셀트리온헬스케어(2.12%), JYP엔터(1.97%), 셀트리온제약(1.32%) 주가가 상승했으며 에스엠(0.15%)는 강보합 마감했다. 반면, 포스코DX(-6.97%)와 에코프로비엠(-4.15%), 에코프로(-2.49%), 엘앤에프(-2.41... ",2023-08-11T16:56:00+09:00
셀트리온제약,"코스피, 外人·기관 매도세에 하락···2590선 마감",http://www.seoulfn.com/news/articleView.html?idxno=492982,"코스닥 시가총액 상위주는 등락이 엇갈렸다. 셀트리온헬스케어(2.12%), 에스엠(0.15%), 셀트리온제약(1.32%), 펄어비스(2.48%) 등이 올랐다. 에코프로비엠(-4.15%), 에코프로(-2.49%), 포스코DX(-6.97%) 등이 하락했다.",2023-08-11T16:41:00+09:00
셀트리온제약,"[데이터로 보는 증시]셀트리온헬스케어·에코프로비엠, 기관·외국인 코스닥 ...",https://n.news.naver.com/mnews/article/011/0004225582?sid=101,"(55억원), 셀트리온제약(068760)(50억원), 파라다이스(48억원), 티로보틱스(117730)(45억원) 등을 순매수한 반면 에코프로(777억원), 포스코DX(200억원), 엘앤에프(143억원), JYP Ent.(117억원), 알테오젠(67억원)... ",2023-08-11T16:34:00+09:00
셀트리온제약,"[마켓뷰] 코스피지수, 외국인·기관 매도에 2500선으로 후퇴",https://n.news.naver.com/mnews/article/366/0000923884?sid=101,"반면 펄어비스는 2.48% 상승했고, 셀트리온제약(1.32%)과 셀트리온헬스케어(2.12%)도 강세를 보였다. 이경민 대신증권 투자전략팀장은 “전날 미국 7월 CPI 발표 이후에도 안도감이 증시 상승으로 이어지지... ",2023-08-11T16:30:00+09:00
셀트리온제약,"코스피, 외인·기관 '팔자' 0.4% 하락 마감…2600선 깨져",https://n.news.naver.com/mnews/article/277/0005299308?sid=101,"시가총액 상위 종목 중에선 펄어비스(2.48%), 셀트리온헬스케어(2.12%), JYP Ent.(1.97%), 셀트리온제약(1.32%), 에스엠(0.15%) 순으로 올랐다. 포스코DX(-6.97%), 에코프로비엠(-4.15%), 에코프로(-2.49%), 엘앤에프(-2.41%), HLB... ",2023-08-11T16:26:00+09:00
셀트리온제약,"코스닥, 에코프로비엠 · 에코프로 · 엘앤에프 · 포스코DX '뚝'",http://www.choicenews.co.kr/news/articleView.html?idxno=119327,"시가총액 상위종목 중 셀트리온헬스케어, 셀트리온제약 등 일부 제약바이오주들과 JYP 등 일부 엔터테인먼트주들이 상승하며 주목받았다. 한국거래소에 따르면 에코프로비엠은 전일 대비 4.15% 하락한... ",2023-08-11T16:26:00+09:00
셀트리온제약,"[마감시황] 코스피, 미국 금리 상승에 0.40%↓…2591.26 마감",http://www.newspim.com/news/view/20230811000995,"시총 상위 10개 종목 중에서는 ▲셀트리온헬스케어(2.12%) ▲JYP Ent.(1.97%) ▲펄어비스(2.48%) ▲셀트리온제약(1.32%) ▲에스엠(0.15%) 등의 주가가 올랐고, ▲에코프로비엠(-4.15%) ▲에코프로(-2.49%) ▲엘앤에프(-2.... ",2023-08-11T16:20:00+09:00
셀트리온제약,또 내준 2600선..다음주 중국 경기 지표 '주목',https://n.news.naver.com/mnews/article/008/0004924374?sid=101,"시가총액 상위 종목들 중에서는 셀트리온헬스케어(2.12%), 셀트리온제약(1.32%) 등 셀트리온 그룹주가 강세였다. JYP Ent.(1.97%), 에스엠(0.15%) 등 엔터테인먼트 관련주도 상승했다. 서울 외환시장에서 원/달러 환율은... ",2023-08-11T16:19:00+09:00
셀트리온제약,[마감시황]美 CPI 선방에도 코스피 하락…다시 2600 아래로,https://www.mediapen.com/news/view/845550,"코스닥 시총 상위주 중에선 셀트리온헬스케어(2.12%), JYP Ent.(1.97%), 펄어비스(2.48%), 셀트리온제약(1.32%), 에스엠(0.15%) 등이 상승한 반면 에코프로비엠(-4.15%), 에코프로(-2.49%), 엘앤에프(-2.41%), 포스코DX(-6.97... ",2023-08-11T16:18:00+09:00
셀트리온제약,"코스피, 美 CPI 안도감에도 '털썩'…2600선 '붕괴'",http://www.newsprime.co.kr/news/article.html?no=609869,"코스닥 시총 상위 10개 기준 종목별로는 펄어비스(2.48%), 셀트리온헬스케어(2.12%), JYP엔터(1.97%), 셀트리온제약(1.32%), 에스엠(0.15%)이 올랐다. 이외 모든 종목이 내렸다. 특히 포스코DX는 전장 대비 2200원(-6.97... ",2023-08-11T16:16:00+09:00
셀트리온제약,"코스피, 中 리스크에 하락마감…환율도 급등[시황종합]",https://n.news.naver.com/mnews/article/421/0006986267?sid=101,"코스닥 시가총액 상위 10개 종목 중 펄어비스(263750) 2.48%, 셀트리온헬스케어(091990) 2.12%, JYP Ent.(035900) 1.97%, 셀트리온제약(068760) 1.32%, 에스엠(041510) 0.15% 등은 상승했다. 포스코DX(022100) -6.97%, 에코프로비엠(247540)... ",2023-08-11T16:15:00+09:00
셀트리온제약,[11일 마감시황] 코스피 수출 감소 소식에 하락…2591.26 마감,http://www.newsworks.co.kr/news/articleView.html?idxno=724145,"48%) ▲셀트리온제약(1.32%) ▲에스엠(0.15%) 등은 상승했다. 투자자별로 보면 외국인과 기관은 각각 272억원, 103억원어치를 순매도했다. 개인은 300억원어치를 순매수했다. 이날 서울외환시장에서 원·달러... ",2023-08-11T16:14:00+09:00
셀트리온제약,"코스피, 외인·기관 동반 매도에 2600선 밑으로 [마감시황]",https://n.news.naver.com/mnews/article/003/0012027284?sid=101,"코스닥 시총 상위 종목 중에서는 셀트리온헬스케어, JYP Ent., 펄어비스, 셀트리온제약 등이 1~2%대 상승세를 나타낸 반면 에코프로비엠은 4% 넘게 내렸고 에코프로, 엘앤에프 등이 2% 넘게 떨어졌다. 포스코DX... ",2023-08-11T16:10:00+09:00
셀트리온제약,"(마감 시황) 코스피, 외인·기관 순매도 속 하락…2,600선 붕괴",https://www.news2day.co.kr/article/20230811500158,"시총 상위 종목 중 펄어비스(2.48%)와 셀트리온헬스케어(2.12%), JYP Ent.(1.97%), 셀트리온제약(1.32%), 루닛(1.08%) 등이 올랐다. 반면 포스코DX(6.97%)와 에코프로비엠(4.15%), 클래시스(3.44%), 에코프로(2.49%), 엘앤에프(2.41... ",2023-08-11T16:10:00+09:00
셀트리온제약,"[시황] 코스피, 외국인·기관 팔자에 2600선 하회",https://n.news.naver.com/mnews/article/119/0002739324?sid=101,"셀트리온헬스케어(2.12%), JYP Ent.(1.97%), 펄어비스(2.48%), 셀트리온제약(1.32%), 에스엠(0.15%) 등은 상승했다. 반면 에코프로비엠(-4.15%), 에코프로(-2.49%), 엘앤에프(-2.41%), 포스코DX(-6.97%) 등은 내렸다. 이날 서울... ",2023-08-11T16:07:00+09:00
셀트리온제약,"[시황] 코스피, 외인·기관 팔자에 2600선 깨졌다…코스닥은 상승",https://n.news.naver.com/mnews/article/629/0000232514?sid=101,"코스닥 시가총액 상위 종목 중에서는 △셀트리온헬스케어(2.12%) △JYP Ent.(1.97%) △펄어비스(2.48%) △셀트리온제약(1.32%) △에스엠(0.15%) 등이 상승했고, △에코프로비엠(-4.15%) △에코프로(-2.49... ",2023-08-11T16:00:00+09:00
셀트리온제약,물가 안도에도 외인·기관 '팔자'에 증시 혼조…환율 다시 1320원대,https://n.news.naver.com/mnews/article/015/0004878906?sid=101,"셀트리온헬스케어(2.12%), 셀트리온제약(1.32%) 등 제약바이오주를 비롯해 JYP엔터(1.97%), 에스엠(0.15%) 등 엔터주가 올랐다. 펄어비스(2.48%)도 2% 넘게 상승했다. 반면 에코프로비엠(-4.15%), 에코프로(-2.49%), 엘앤에프(-2.... ",2023-08-11T15:57:00+09:00
