query,title,link,description,pubdate
셀트리온헬스케어,[코스닥 글로벌 주간동향] 주간 상승률 상위종목은?... 휴온스 주간 상승률 선...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212018,1위 휴온스 4만3500원(29.85%)▲2위 펄어비스 5만7900원(7.42%)▲3위 휴젤 11만4900원(7.38%)▲4위 덕산네오룩스 4만1700원(6.65%)▲5위 셀트리온헬스케어 7만2300원(6.48%)▲6위 파마리서치 14만9000원(6.35%)▲7위... ,2023-08-13T12:48:00+09:00
셀트리온헬스케어,"'바이오를 주목하라' 자산운용사, 관련 ETF 속속 출시",http://www.shinailbo.co.kr/news/articleView.html?idxno=1745144,"국내시장의 경우, 바이오 헬스케어의 성장성에 주목한 외국인들은 △SK바이오팜(357억원) △삼성바이오로직스(268억원) △셀트리온헬스케어(241억원) 등을 집중 매수하고 나섰다. 국내 주식 시장에는 바이오 ETF가 속속... ",2023-08-13T10:40:00+09:00
셀트리온헬스케어,바이오 ETF 연이은 상장…뭉칫돈 몰리며 '시선집중',https://www.mediapen.com/news/view/845725,포함된 종목들을 보면 유한양행(8.05%)삼성바이오로직스(7.70%)SK바이오팜(6.71%)셀트리온헬스케어(6.00%)알테오젠(5.14%)제이엘케이(4.39%) 등의 종목 선정이 눈에 띈다. 이번 액티브 ETF의 상장은 바이오 섹터 자체에 대한... ,2023-08-13T10:10:00+09:00
셀트리온헬스케어,코스닥 주간 개인 순매도 1위 '셀트리온헬스케어',https://n.news.naver.com/mnews/article/018/0005550369?sid=101,,2023-08-13T09:01:00+09:00
셀트리온헬스케어,[바이오 K-뉴딜 주간동향] 한미약품 한주간 12.86% 올라 주간 상승률 상위권,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211962,"한미약품 뒤를 이어 셀트리온헬스케어, 셀트리온 종목도 각각 6.48%, 3.85%씩 상승해 상승률 상위권에 이름을 올렸다. 한편, 에스디바이오센서는 -12.84%를 기록해 KRX 바이오 K-뉴딜지수 구성종목 중 가장... ",2023-08-13T08:10:00+09:00
셀트리온헬스케어,이차전지 가고 '바이오' 왔나…훈풍에 특화 ETF도 '속속',https://www.news2day.co.kr/article/20230811500014,"해당 기간 순매수 상위 종목에는 셀트리온제약(295억원)와 셀트리온헬스케어(229억원), 휴온스(80억원), 바이오니아(63억원) 등 제약·바이오 종목들이 다수 이름을 올렸다. 반면 지난달 순매수 상위 종목에 포함됐던... ",2023-08-13T08:06:00+09:00
셀트리온헬스케어,박스권 장세 속 새 주도업종 찾기 '분주'[김호성의 마켓워치],https://www.econovill.com/news/articleView.html?idxno=621904,"대형주 셀트리온과 셀트리온헬스케어의 미국 진출 성과 확인 등 여러 모멘텀들도 체크해 볼 필요가 있다. 또한 중국이 6년 만에 한국행 단체 여행의 빗장을 푼다는 소식에 여행, 면세점, 화장품, 카지노 관련주들에... ",2023-08-13T07:24:00+09:00
셀트리온헬스케어,"K-휴미라 바이오시밀러, 美 판로 확보 본격화…24조 시장 공습 돌입",https://it.chosun.com/site/data/html_dir/2023/08/11/2023081101764.html,"이에 휴미라 바이오시밀러 ‘유플라이마’를 미국에 진출시킨 셀트리온헬스케어도 PBM 중 한 곳과 리베이트 계약을 곧 성사시킬 예정이다. 셀트리온헬스케어는 자사 홈페이지를 통해 ""지난달 말 유플라이마를 미국... ",2023-08-13T06:02:00+09:00
셀트리온헬스케어,[에이프로젠 주간 동향] '누가사길래' 거래량 1억 '돌파' 에이프로젠·에이프...,https://www.thekpm.com/news/articleView.html?idxno=168478,"에이프로젠은 선두로 이수앱지스, 셀트리온헬스케어, 동아에스트, 셀트리온제약, 팬젠, 삼성물산, 서린바이오, 셀트리온이 상승, 바이넥스가 보합, 삼성바이오로직스, 알테오젠, 삼천당제약, 녹십자가 하락... ",2023-08-12T13:56:00+09:00
셀트리온헬스케어,"주간 코스닥, 기관 순매수도 상위 10종목(11일)...에코프로-셀트리온헬스케어...",http://www.betanews.net:8080/article/1433021.html,"▲주간(2023-08-07~2023-08-11) 코스닥 시장에서 기관은 에코프로, 셀트리온헬스케어, 메디톡스를 집중 매수했다. 반면, 피부, JYP Ent., 큐리옥스바이오시스템즈를 집중 매도했다. © 연합뉴스. 주간(2023-08-07~2023... ",2023-08-12T10:36:00+09:00
