query,title,link,description,pubdate
에코프로,"포스코이앤씨, 대형 평형 위주 구성…과학산업단지와 가까워",https://n.news.naver.com/mnews/article/009/0005172112?sid=101,"오창프레스티지는 미래 산업이 모여 있는 오창과학산업단지 안에 속해 직주근접이 뛰어난 게 장점이다. 실제 오창과학산업단지에는 LG에너지솔루션, 에코프로비엠 등을 필두로 한 2차전지 기업 40여 곳이 밀집해 있다.",2023-08-13T16:01:00+09:00
에코프로,희비 엇갈린 2분기 배터리 소재 기업 실적···장기 전망은 '맑음',https://n.news.naver.com/mnews/article/088/0000830340?sid=101,13일 업계에 따르면 포스코퓨처엠·에코프로비엠·엘앤에프 등 양극재 기업의 2분기 실적은 기대치를 밑돌았다. 포스코퓨처엠의 영업이익은 521억원으로 작년 동기 대비 5.6% 감소했다. 에코프로비엠의 영업이익은 11.5... ,2023-08-13T15:53:00+09:00
에코프로,"배터리협회 ""공급망 세제 혜택·금융 지원""...자금 조달 '청신호'",http://www.newspim.com/news/view/20230811000655,"현재 LG에너지솔루션, SK온과 에코프로 등 국내 대표 배터리 소재사들이 중국 기업과 합작 법인을 설립해 투자를 진행하고 있다. 미국이 IRA에 FEOC에 중국 소재 기업이나 한중 합작사를 포함할 경우 IRA 보조금 혜택... ",2023-08-13T15:00:00+09:00
에코프로,배터리 소재 실적서 분리막만 '선방'…중장기 성장성도 확보,https://n.news.naver.com/mnews/article/374/0000347271?sid=101,"에코프로비엠의 영업이익은 같은 기간 11.5% 증가한 1천147억원을 기록했지만, 시장 전망치를 5%가량 밑돌았습니다. 엘엔애프의 경우 영업이익이 95%나 급감하며 30억원에 그쳤습니다. 양극재는 전기차의 주행거리와... ",2023-08-13T14:05:00+09:00
에코프로,[코스닥 글로벌 주간동향] 주간 상승률 상위종목은?... 휴온스 주간 상승률 선...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212018,"한편, 에코프로비엠 종목은 -14.98%를 기록해 지수 구성종목 중 가장 부진한 흐름을 나타냈다. 11일 기준 코스닥 글로벌 편입 종목 중 주간 상승률 상위 종목은 다음과 같다. 표기순서는 순위... ",2023-08-13T12:48:00+09:00
에코프로,"[투자전략] ""당분간 박스권 흐름...코스피 2530~2660p 전망""",http://www.biztribune.co.kr/news/articleView.html?idxno=289324,"내부적으로는 MSCI 편입 이슈 후 에코프로 수급 향방도 불확실성 요인 중 하나로 잔존하고, 환율과 캐리 여건은 아직 외국인 수급에 우호적인 조건으로 보긴 어렵다. 지수 방향성보다는 종목 중심의 흐름이 전개될... ",2023-08-13T12:36:00+09:00
에코프로,기관 '에코프로'·외인 '파라다이스'·개인 '파두' 1위 [주간 코스닥 순매수-...,http://www.fntimes.com/html/view.php?ud=202308121810432446179ad43907_18,[주간 코스닥 순매수- 8월7일~8월11일] 정선은 기자,2023-08-13T12:02:00+09:00
에코프로,2차전지 아니면 '삼전'...분산투자 나서는 개미,https://n.news.naver.com/mnews/article/014/0005056337?sid=101,에코프로 등 일부 2차전지 종목에 쏠렸던 투자 형태가 분산되고 있어 귀추가 주목된다. 13일 한국거래소에 따르면 이달 들어 11일까지 개인은 유가증권시장에서 총 2조4474억원어치를 사들였다. 같은 기간 기관은... ,2023-08-13T11:59:00+09:00
에코프로,[코스닥 150 주간동향] 주간 상승률 상위종목은?... 아난티 한주간 32.41% 급...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212001,"한편, 에코프로비엠 종목은 -14.98%를 기록해 지수 구성종목 중 가장 부진한 흐름을 나타냈다. 11일 기준 코스닥 150 지수 구성종목 중 주간상승률 상위 종목은 다음과 같다. 표기순서는 순위... ",2023-08-13T10:58:00+09:00
에코프로,양극재 리튬 가격 하락에 주춤 동박 중국산 공세로 공급 과잉,http://www.smedaily.co.kr/news/articleView.html?idxno=265216,"13일 업계에 따르면 LG화학과 포스코퓨처엠, 에코프로비엠 등 양극재 기업의 2분기 실적은 다소 저조했다. LG화학 첨단소재 부문 영업이익은 지난해 동기보다 45.0% 감소한 1846억원으로 집계됐다. 포스코퓨처엠의... ",2023-08-13T10:44:00+09:00
에코프로,"포스코홀딩스, 에코프로, LS… 날아오른 지주사들",https://n.news.naver.com/mnews/article/037/0000032920?sid=101,"올해 들어 성장성 높은 비상장 자회사를 품고 있는 포스코홀딩스, 에코프로, LS 등 지주사는 주가가 날아오른 반면 SK, 삼성물산, GS, CJ 등 주요 그룹 지주사는 52주 신저가를 기록했다. 2차전지 투자 열풍이 불면서... ",2023-08-13T10:02:00+09:00
에코프로,[이번주 증시] '첨단기술' 놓고 미-중 갈등 재점화…증시 상단 제약,https://n.news.naver.com/mnews/article/031/0000765543?sid=101,"황 연구원은 ""MSCI 8월 리뷰에서 에코프로, 한미반도체, 한화오션, JYP엔터의 편입이 확정되면서 다시 한번 관련 테마 수급에 변화가 생길 가능성도 상존한다""고 판단했다. 다음주 주요 이벤트는 △미국 7월 생산자물가... ",2023-08-13T10:01:00+09:00
에코프로,"시세표만 봐도 배 아픈 에코프로, 이제라도 사야 할까",https://n.news.naver.com/mnews/article/028/0002652087?sid=101,올해 안에 에코프로를 넘어설 화제주가 나올 가능성은 희박해 보인다. 지난해 주식시장 폐장일(12월29일)에 10만3천원이던 에코프로 주가는 7월31일 120만7천원으로 7개월 만에 12배 뛰었다. 유가증권시장과 코스피... ,2023-08-13T09:03:00+09:00
에코프로,코스닥 주간 기관 순매수 1위 '에코프로',https://n.news.naver.com/mnews/article/018/0005550375?sid=101,,2023-08-13T09:02:00+09:00
에코프로,외국인 '울며 겨자먹기'로 산 7월 2차전지株…8월엔 다를까,https://n.news.naver.com/mnews/article/421/0006987397?sid=101,13일 한국거래소에 따르면 매수 대금 기준으로 지난 7월 외국인들이 코스닥에서 가장 많이 산 상위 5개 종목은 △에코프로 △에코프로비엠 △엘엔에프 △포스코DX △포스코엠텍으로 나타났다. 총매수 대금은... ,2023-08-13T08:16:00+09:00
에코프로,[2차전지 K-뉴딜 주간동향] SKC 한주간 4.96% 올라 업종내 상승률 선두,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211961,"한편, 에코프로비엠은 -14.98%를 기록해 KRX 2차전지 K-뉴딜지수 구성종목 중 가장 부진한 흐름을 나타냈다. 지난 11일 KRX 2차전지 K-뉴딜지수 구성종목 주간 기준 등락률은 다음과 같다. 표기순서는... ",2023-08-13T08:08:00+09:00
에코프로,[상반기 금융권 이슈(中)] 연이은 주가 조작사태에 검찰총장 방문까지...여의...,https://www.youthdaily.co.kr/news/article.html?no=133650,"SG 증권발 차액결제거래(CFD) 사태 등으로 거래대금이 줄어들 것으로 예상했지만, 에코프로 등 2차전지 테마주 급등에 거래대금이 늘어난 영향으로 풀이된다. 증권업계에 따르면 올 상반기 코스피시장의 거래대금은... ",2023-08-13T08:02:00+09:00
에코프로,박스권 장세 속 새 주도업종 찾기 '분주'[김호성의 마켓워치],https://www.econovill.com/news/articleView.html?idxno=621904,현지시간 10일 미국 투자은행 모건스탠리의 자회사 모건스탠리캐피털인터내셔널(MSCI)이 발표한 한국 지수 구성 종목에 2차전지 대표주 에코프로가 새로 편입됐지만 주가는 급락했다. 이날 MSCI는 세계 주가지수 8월... ,2023-08-13T07:24:00+09:00
에코프로,"“에코프로도 첨엔 거품이랬어” 초전도체 베팅한 투자자들, 2주후 웃을까[투...",https://n.news.naver.com/mnews/article/016/0002182807?sid=101,"신성델타테크 온라인 종목 게시판에는 “에코프로도 처음에는 거품이라고 했지만, 그러다가 150만원까지 올랐다. 실제 상용화될 경우의 매출 및 마진과 그 업체의 성장률을 계산하면 현재 관련주들 시총이 현저히... ",2023-08-13T07:04:00+09:00
에코프로,‘2차전지’ 순풍 단 2분기 증권업계…매매수수료 수익 20%대 증가,https://www.ceoscoredaily.com/page/view/2023080915443994217,"지난 4월말 발생한 CFD 사태 이후 잠시 투심이 위축되는 모습을 보였지만 이후 에코프로, 포스코, LS 등 2차전지 관련주로 지목된 종목들이 크게 오르며 자금을 끌어들였다. 급기야 증시 급등 장에서 ‘낙오’될 수... ",2023-08-13T07:02:00+09:00
에코프로,실적 엇갈린 배터리 소재기업…양극재·동박 울고 분리막 웃고,https://n.news.naver.com/mnews/article/001/0014128285?sid=101,"메탈 가격 급락에…양극재 기업 실적 기대치 밑돌아 LG화학과 포스코퓨처엠, 에코프로비엠 등 양극재 기업의 2분기 실적은 다소 저조했다. 13일 업계에 따르면 LG화학 첨단소재 부문 영업이익은 작년 동기보다 45.0... ",2023-08-13T06:30:00+09:00
에코프로,"[이번주 주목할 것들] 급성장 테마형 ETF, 소형주 투자 올라탈까",http://www.goodkyung.com/news/articleView.html?idxno=214477,이 중 이차전지소재 Fn ETF는 완성제조업체인 LG에너지솔루션과 삼성SDI 등의 대형 종목을 제외했음에도 에코프로의 급성장에 힘입어 AUM이 지난달 17일 1110억원에서 지난달 말 5220억원으로 급등했다. SOL... ,2023-08-13T06:06:00+09:00
에코프로,2차전지도 아닌데 979.37% 급등…전문가들도 찜한 미래산업,https://n.news.naver.com/mnews/article/008/0004924662?sid=101,"국내 상장된 주식 중 에코프로 다음으로 상승률이 높다. 제이엘케이는 AI를 통해 뇌졸중을 진단하는 솔루션을 제공하는 업체로, 2018년 최초로 식품의약품안전처로부터 'JBS-01K'의 3등급 의료기기 허가를 획득했다.... ",2023-08-13T06:00:00+09:00
에코프로,"좋은 땅 없나요… 2차전지 기업들, 부지 찾아 삼만리",https://n.news.naver.com/mnews/article/366/0000924077?sid=101,"올해 SK온·에코프로머티리얼즈·GEM(33만㎡), LG화학·화유코발트 합작사(33만㎡), LS·엘앤에프(13만2200㎡) 등 2차전지 관련 대기업·중견기업 합작사들이 잇따라 새만금에 공장 건립 계획을 발표했다. 전북도청 관계자는... ",2023-08-13T05:01:00+09:00
