query,title,link,description,pubdate
에코프로비엠,"포스코이앤씨, 대형 평형 위주 구성…과학산업단지와 가까워",https://n.news.naver.com/mnews/article/009/0005172112?sid=101,"오창프레스티지는 미래 산업이 모여 있는 오창과학산업단지 안에 속해 직주근접이 뛰어난 게 장점이다. 실제 오창과학산업단지에는 LG에너지솔루션, 에코프로비엠 등을 필두로 한 2차전지 기업 40여 곳이 밀집해 있다.",2023-08-13T16:01:00+09:00
에코프로비엠,희비 엇갈린 2분기 배터리 소재 기업 실적···장기 전망은 '맑음',https://n.news.naver.com/mnews/article/088/0000830340?sid=101,13일 업계에 따르면 포스코퓨처엠·에코프로비엠·엘앤에프 등 양극재 기업의 2분기 실적은 기대치를 밑돌았다. 포스코퓨처엠의 영업이익은 521억원으로 작년 동기 대비 5.6% 감소했다. 에코프로비엠의 영업이익은 11.5... ,2023-08-13T15:53:00+09:00
에코프로비엠,"배터리협회 ""공급망 세제 혜택·금융 지원""...자금 조달 '청신호'",http://www.newspim.com/news/view/20230811000655,"부회장과 권영수 LG에너지솔루션 부회장이 회장으로 취임한 뒤 처음 열렸다. 배터리협회는 배터리 3사 외에도 포스코퓨처엠, 엘엔에프, 에코프로비엠 등 국내 주요 배터리 및 배터리 소재·부품 기업들이 가입돼 있다.",2023-08-13T15:00:00+09:00
에코프로비엠,배터리 소재 실적서 분리막만 '선방'…중장기 성장성도 확보,https://n.news.naver.com/mnews/article/374/0000347271?sid=101,"에코프로비엠의 영업이익은 같은 기간 11.5% 증가한 1천147억원을 기록했지만, 시장 전망치를 5%가량 밑돌았습니다. 엘엔애프의 경우 영업이익이 95%나 급감하며 30억원에 그쳤습니다. 양극재는 전기차의 주행거리와... ",2023-08-13T14:05:00+09:00
에코프로비엠,[코스닥 글로벌 주간동향] 주간 상승률 상위종목은?... 휴온스 주간 상승률 선...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212018,"한편, 에코프로비엠 종목은 -14.98%를 기록해 지수 구성종목 중 가장 부진한 흐름을 나타냈다. 11일 기준 코스닥 글로벌 편입 종목 중 주간 상승률 상위 종목은 다음과 같다. 표기순서는 순위... ",2023-08-13T12:48:00+09:00
에코프로비엠,2차전지 아니면 '삼전'...분산투자 나서는 개미,https://n.news.naver.com/mnews/article/014/0005056337?sid=101,지난 상반기 1조1967억원의 개인 투자금이 몰린 에코프로비엠도 342억원 순매수에 그쳤다. 오히려 상반기 937억원 수준에 머물렀던 금양에 이달 2107억원의 개인 투자금이 추가로 들어왔다. 엘앤에프도 이달 개인이... ,2023-08-13T11:59:00+09:00
에코프로비엠,[코스닥 150 주간동향] 주간 상승률 상위종목은?... 아난티 한주간 32.41% 급...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212001,"한편, 에코프로비엠 종목은 -14.98%를 기록해 지수 구성종목 중 가장 부진한 흐름을 나타냈다. 11일 기준 코스닥 150 지수 구성종목 중 주간상승률 상위 종목은 다음과 같다. 표기순서는 순위... ",2023-08-13T10:58:00+09:00
에코프로비엠,양극재 리튬 가격 하락에 주춤 동박 중국산 공세로 공급 과잉,http://www.smedaily.co.kr/news/articleView.html?idxno=265216,"13일 업계에 따르면 LG화학과 포스코퓨처엠, 에코프로비엠 등 양극재 기업의 2분기 실적은 다소 저조했다. LG화학 첨단소재 부문 영업이익은 지난해 동기보다 45.0% 감소한 1846억원으로 집계됐다. 포스코퓨처엠의... ",2023-08-13T10:44:00+09:00
에코프로비엠,"포스코홀딩스, 에코프로, LS… 날아오른 지주사들",https://n.news.naver.com/mnews/article/037/0000032920?sid=101,"이 중 상장사는 양극재를 생산하는 에코프로비엠, 대기오염 방지 및 사후처리 분야를 담당하는 에코프로에이치엔뿐이다. 전구체 제조사 에코프로머티리얼즈는 4월 한국거래소에 코스피 상장예비심사를 청구한... ",2023-08-13T10:02:00+09:00
에코프로비엠,"시세표만 봐도 배 아픈 에코프로, 이제라도 사야 할까",https://n.news.naver.com/mnews/article/028/0002652087?sid=101,코스닥에서 자회사인 에코프로비엠(40조9787억원)에 이어 두번째로 크다. 7개월간 에코프로의 시가총액 증가분은 같은 기간 코스닥 시장 전체 시가총액 증가분 137조6349억원의 21.5%를 차지했다. 코스닥 지수가 679.... ,2023-08-13T09:03:00+09:00
