query,title,link,description,pubdate
카카오,"""카톡·셀카 2초면 OK""…MZ도 반했다는 '갤Z5 플립' 써보니 [조아라의 IT's f...",https://n.news.naver.com/mnews/article/015/0004879337?sid=105,기존 1.9인치에서 3.4인치 수준으로(약 86.1mm) 확 커진 외부 화면을 통해 카카오톡부터 유튜브 등 다양한 앱 사용이 가능하다. 기자는 지난 4일부터 11일까지 일주일간 플립5을 사용해 봤다. MZ세대 반했다는 '갤Z5 플립... ,2023-08-13T16:21:00+09:00
카카오,"토스, BNPL 연체율 7% 넘어…최승재 의원 ""관리 필요성 높아져""",https://n.news.naver.com/mnews/article/031/0000765612?sid=101,"네이버파이낸셜, 카카오페이, 비바리퍼블리카(토스) 3사의 지난 6월 말 기준 BNPL 연체율은 각각 2.45%, 0.54... 74만3천명, 카카오페이 4만5천명, 토스 223만2천명이다. 총 가입자수는 302만명이다. 이는 지난 3월 말 대비 13.... ",2023-08-13T16:18:00+09:00
카카오,[손현덕 주필의 사람과 현장] '챗GPT 단초' 10쪽짜리 논문 보고 온몸에 전율 ...,https://n.news.naver.com/mnews/article/009/0005172131?sid=110,"네이버, 카카오, NC소프트, SK플래닛 등에서 10여 명의 젊은 연구직 직원들이 각자 자신이 하는 업무를 발표하고 저녁 뒤풀이까지 이어졌다. 그들은 AI의 거대한 쓰나미가 몰려올 것임을 직감했다. 이 모임에 네이버에선... ",2023-08-13T16:17:00+09:00
카카오,"尹대통령, 18일 미 캠프 데이비드서 네번째 한미일 정상회의",https://n.news.naver.com/mnews/article/079/0003801410?sid=100,"※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",2023-08-13T16:16:00+09:00
카카오,"대구시, 배달음식점 위생관리 집중점검",https://n.news.naver.com/mnews/article/079/0003801409?sid=102,"※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",2023-08-13T16:13:00+09:00
카카오,“카카오 뒤쫓는 유튜브”… 국내 시장서 영역 확대하는 美 빅테크,https://n.news.naver.com/mnews/article/366/0000924181?sid=105,"유튜브, 넷플릭스 등 미국 빅테크 기업이 국내 토종 플랫폼 강자인 카카오와 네이버를 위협하며 영역을 확장하고 있다. 13일 모바일인덱스에 따르면, 지난달 카카오가 운영하는 카카오톡 실사용자 수는... ",2023-08-13T16:11:00+09:00
카카오,[인터뷰] 라온시큐어 정현철 사장 “이제는 인증도 플랫폼 시대”,https://n.news.naver.com/mnews/article/138/0002154442?sid=105,"네이버나 카카오, 이동통신사, 금융사 등이 각자의 전자서명을 개발‧운용할 수 있게 된 배경이다. 다만... 카카오톡, 페이코, 패스 등 각각의 전자서명을 하나의 플랫폼에서 동시에 사용할 수 있도록 중계하는 역할을... ",2023-08-13T16:06:00+09:00
카카오,"평택시, 8월은 주민세(개인분) 납부의 달 적극 홍보",https://www.kmaeil.com/news/articleView.html?idxno=411582,"납부용 QR코드를 인식하면 카카오톡 앱과 네이버 앱 등을 통해 지방세 납부를 간편하게 할 수 있다. 이재원 세정과장은 ""지방세는 시 지역 발전을 위해 사용되는 소중한 자주재원인 만큼 납부 기한까지 꼭 납부해... ",2023-08-13T16:02:00+09:00
카카오,"박정훈 전 수사단장 측 ""1사단장, 수중수색 알고도 허위 진술‥군검사도 책임...",https://n.news.naver.com/mnews/article/214/0001292841?sid=100,"변호인 측은 정훈공보실장의 보고에 대해 ""훌륭하게 공보활동이 이뤄졌다""고 답한 1사단장의 발언이 담긴 카카오톡 메시지를 공개했습니다. 하지만 수사단 조사에서 1사단장은 장병들이 물속에서 수색하는 사진을... ",2023-08-13T15:54:00+09:00
카카오,부산 광안리 드론쇼 도중 드론 추락…관람객 2명 부상,https://n.news.naver.com/mnews/article/079/0003801408?sid=102,"※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",2023-08-13T15:54:00+09:00
