query,title,link,description,pubdate
포스코DX,[코스닥 글로벌 주간동향] 주간 상승률 상위종목은?... 휴온스 주간 상승률 선...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212018,1위 에코프로비엠 32만3500원(-14.98%)▲2위 원익IPS 3만800원(-12.87%)▲3위 포스코DX 2만9350원(-11.86%)▲4위 주성엔지니어링 2만4500원(-11.07%)▲5위 이녹스첨단소재 3만9200원(-7.87%)▲6위 CJ ENM 6만2500원(-7.54... ,2023-08-13T12:48:00+09:00
포스코DX,[코스닥 150 주간동향] 주간 상승률 상위종목은?... 아난티 한주간 32.41% 급...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212001,1위 에코프로비엠 32만3500원(-14.98%)▲2위 HPSP 3만1850원(-13.22%)▲3위 원익IPS 3만800원(-12.87%)▲4위 씨젠 2만2150원(-12.45%)▲5위 박셀바이오 3만1850원(-12.02%)▲6위 포스코DX 2만9350원(-11.86%)▲7위 위메이드... ,2023-08-13T10:58:00+09:00
포스코DX,코스닥 주간 외국인 순매도 1위 '포스코DX',https://n.news.naver.com/mnews/article/018/0005550371?sid=101,,2023-08-13T09:01:00+09:00
포스코DX,외국인 '울며 겨자먹기'로 산 7월 2차전지株…8월엔 다를까,https://n.news.naver.com/mnews/article/421/0006987397?sid=101,13일 한국거래소에 따르면 매수 대금 기준으로 지난 7월 외국인들이 코스닥에서 가장 많이 산 상위 5개 종목은 △에코프로 △에코프로비엠 △엘엔에프 △포스코DX △포스코엠텍으로 나타났다. 총매수 대금은... ,2023-08-13T08:16:00+09:00
포스코DX,이차전지 가고 '바이오' 왔나…훈풍에 특화 ETF도 '속속',https://www.news2day.co.kr/article/20230811500014,"반면 지난달 순매수 상위 종목에 포함됐던 에코프로나 엘앤에프, 포스코DX 등은 외국인 순매도를 기록했다. 앞서 지난 9일(현지시간)에는 미국 증시에 상장된 덴마크 제약사 노보 노디스크는 글루카곤 유사 펩타이드... ",2023-08-13T08:06:00+09:00
포스코DX,[휴림로봇 주간 동향] 양봉 마감에 외국인은 또 팔았다…제조용로봇(스마트팩...,https://www.thekpm.com/news/articleView.html?idxno=168493,"반면 이삭엔지니어링, 삼성에스디에스, 넥스턴바이오, 엠아이큐브솔루션, 포스코DX가 하락해 거래를 마쳤다. 이날 휴림로봇에 개인이 9만 9532주, 기타외국인이 4421주를 매수해 주가를 견인했고, 외국인이 9만... ",2023-08-12T22:50:00+09:00
포스코DX,"수요예측 이어 청약도 흥행···스마트레이더시스템, IPO 분위기 띄울까 [IP...",https://n.news.naver.com/mnews/article/024/0000083915?sid=101,"주요 고객사도 현대모비스, 아마존, 현대건설기계, 현대두산인프라코어, 포스코DX, LG전자 등으로 탄탄하다. 자동차뿐 아니라 특수장비차와 산업용으로 사업 포트폴리오를 확대하고 있다는 점도 긍정적이다. 박종선... ",2023-08-12T19:11:00+09:00
포스코DX,코스닥 외국인 순매수도 상위 10종목(11일)...에코프로비엠-에코프로에이치엔...,http://www.betanews.net:8080/article/1433017.html,"반면, 에코프로, 포스코DX, 엘앤에프를 집중 매도했다.© 연합뉴스. 11일 코스닥 시장에서 외국인은 에코프로비엠, 에코프로에이치엔,아난티를 집중 매수했다. 반면, 에코프로, 포스코DX, 엘앤에프를 집중 매도했다.",2023-08-12T10:26:00+09:00
포스코DX,[코스닥 글로벌] 상승률 상위종목은?... 휴온스 5.2% 올라 상승률 선두,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211888,"한편, 포스코DX 종목은 -6.97%를 기록해 지수 구성종목 중 가장 부진한 흐름을 나타냈다. 11일 기준 코스닥 글로벌 편입 종목 중 상승률 상위 종목은 다음과 같다. 표기순서는 순위, 종목명, 11일... ",2023-08-12T09:20:00+09:00
포스코DX,"키워준 코스닥 등 돌리는 이차전지, 코스피 이전상장은 호재일까?",https://n.news.naver.com/mnews/article/008/0004924593?sid=101,"한편 최근 이차전지 양극활물질 제조사 엘앤에프가 코스피 이전상장을 준비 중이다. 포스코DX는 실무선에서 이전상장을 검토 중이라고 밝혔고, 에코프로비엠은 현재로서는 이전상장 계획이 없다고 밝혔다.",2023-08-12T08:26:00+09:00
