query,title,link,description,pubdate
포스코퓨처엠,희비 엇갈린 2분기 배터리 소재 기업 실적···장기 전망은 '맑음',https://n.news.naver.com/mnews/article/088/0000830340?sid=101,13일 업계에 따르면 포스코퓨처엠·에코프로비엠·엘앤에프 등 양극재 기업의 2분기 실적은 기대치를 밑돌았다. 포스코퓨처엠의 영업이익은 521억원으로 작년 동기 대비 5.6% 감소했다. 에코프로비엠의 영업이익은 11.5... ,2023-08-13T15:53:00+09:00
포스코퓨처엠,실적 엇갈린 배터리 소재…양극재·동박 울고 분리막 웃고,https://n.news.naver.com/mnews/article/029/0002819130?sid=101,포스코퓨처엠의 영업이익은 521억원으로 작년 동기 대비 5.6% 감소했다. 엘엔애프의 영업이익은 30억원으로 무려 95%나 급감했다. 양극재는 전기차의 주행거리와 출력 등 성능을 결정하는 배터리 핵심 소재다. 양극재... ,2023-08-13T15:08:00+09:00
포스코퓨처엠,박태성 배터리協 부회장 “글로벌 공급망 규제 총력 대응”,https://n.news.naver.com/mnews/article/030/0003125674?sid=105,"회원지원실 등 3개실을 중심으로 하는 조직개편을 단행했다. 회장사인 LG에너지솔루션을 비롯해 삼성SDI, SK온, 포스코퓨처엠 등 13개 회원사가 조성한 특별기금을 바탕으로 사무공간 확장과 환경 개선 프로젝트도 마쳤다.",2023-08-13T15:02:00+09:00
포스코퓨처엠,"배터리협회 ""공급망 세제 혜택·금융 지원""...자금 조달 '청신호'",http://www.newspim.com/news/view/20230811000655,"부회장과 권영수 LG에너지솔루션 부회장이 회장으로 취임한 뒤 처음 열렸다. 배터리협회는 배터리 3사 외에도 포스코퓨처엠, 엘엔에프, 에코프로비엠 등 국내 주요 배터리 및 배터리 소재·부품 기업들이 가입돼 있다.",2023-08-13T15:00:00+09:00
포스코퓨처엠,배터리·반도체 압도하는 중소형주… ‘쏠림현상’ 완화 시작,http://www.skyedaily.com/news/news_view.html?ID=202096,이달 들어 삼성전자(-5.06%)·LG에너지솔루션(-1.80%)·SK하이닉스(-5.06%)·POSCO홀딩스(-7.09%)·현대차(-4.46%)·포스코퓨처엠(-13.46%)·기아(-3.60%) 등 시총 상위권 종목이 대부분 약세를 보였다. 반면 코스피 상위 10위권 밖... ,2023-08-13T14:14:00+09:00
포스코퓨처엠,배터리 소재 실적서 분리막만 '선방'…중장기 성장성도 확보,https://n.news.naver.com/mnews/article/374/0000347271?sid=101,"포스코퓨처엠 영업이익은 1년 전보다 5.6% 감소한 521억원을 기록했습니다. 에코프로비엠의 영업이익은 같은 기간 11.5% 증가한 1천147억원을 기록했지만, 시장 전망치를 5%가량 밑돌았습니다. 엘엔애프의 경우... ",2023-08-13T14:05:00+09:00
포스코퓨처엠,한풀 꺾인 이차전지…바이오·화장품株 뜬다,https://n.news.naver.com/mnews/article/215/0001119014?sid=101,"이달 들어 시총 상위권인 삼성전자(-5.06%), LG에너지솔루션(-1.80%), SK하이닉스(-5.06%), 포스코홀딩스(-7.09%), 현대차(-4.46%), 포스코퓨처엠(-13.46%), 기아(-3.60%) 등은 모두 약세를 보였으나, 코스피 상위 10위권 밖... ",2023-08-13T12:29:00+09:00
포스코퓨처엠,양극재 리튬 가격 하락에 주춤 동박 중국산 공세로 공급 과잉,http://www.smedaily.co.kr/news/articleView.html?idxno=265216,"13일 업계에 따르면 LG화학과 포스코퓨처엠, 에코프로비엠 등 양극재 기업의 2분기 실적은 다소 저조했다. LG화학 첨단소재 부문 영업이익은 지난해 동기보다 45.0% 감소한 1846억원으로 집계됐다. 포스코퓨처엠의... ",2023-08-13T10:44:00+09:00
포스코퓨처엠,2차전지서 바이오·화장품으로,http://www.smedaily.co.kr/news/articleView.html?idxno=265213,"이달 들어 시총 상위권인 삼성전자(-5.06%), LG에너지솔루션(-1.80%), SK하이닉스(-5.06%), 포스코홀딩스(-7.09%), 현대차(-4.46%), 포스코퓨처엠(-13.46%), 기아(-3.60%) 등은 모두 약세를 보였으나, 코스피 상위 10위권 밖 종목들은... ",2023-08-13T10:20:00+09:00
포스코퓨처엠,반도체·배터리 관련주 ‘쏠림 현상’ 완화?…중소형주로 자금 몰린다,https://www.ekn.kr/web/view.php?key=20230813010003375,"이달 들어 시총 상위권인 삼성전자(-5.06%), LG에너지솔루션(-1.80%), SK하이닉스(-5.06%), 포스코홀딩스(-7.09%), 현대차(-4.46%), 포스코퓨처엠(-13.46%), 기아(-3.60%) 등은 모두 약세를 보였으나, 코스피 상위 10위권 밖 종목들은... ",2023-08-13T09:54:00+09:00
포스코퓨처엠,[코스피 200 주간동향] 코스맥스 주간 27.74% 급등…구성종목 중 주간 상승률...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211963,1위 금양 12만9900원(-16.41%)▲2위 에스디바이오센서 1만2560원(-12.84%)▲3위 롯데케미칼 14만700원(-10.5%)▲4위 한섬 1만9680원(-9.52%)▲5위 포스코퓨처엠 44만500원(-8.32%)▲6위 코스모화학 4만6450원(-6.26... ,2023-08-13T08:14:00+09:00
포스코퓨처엠,[2차전지 K-뉴딜 주간동향] SKC 한주간 4.96% 올라 업종내 상승률 선두,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211961,2%)▲6위 에코프로 113만7000원(-3.15%)▲7위 엘앤에프 22만2500원(-4.91%)▲8위 SK이노베이션 19만500원(-6.16%)▲9위 포스코퓨처엠 44만500원(-8.32%)▲10위 에코프로비엠 32만3500원(-14.98%),2023-08-13T08:08:00+09:00
포스코퓨처엠,"'이젠 중소형주의 시간?'…바이오·화장품, 코스피200 상승 주도",https://n.news.naver.com/mnews/article/001/0014128314?sid=101,"이달 들어 시총 상위권인 삼성전자(-5.06%), LG에너지솔루션(-1.80%), SK하이닉스(-5.06%), 포스코홀딩스(-7.09%), 현대차(-4.46%), 포스코퓨처엠(-13.46%), 기아(-3.60%) 등은 모두 약세를 보였으나, 코스피 상위 10위권 밖 종목들은... ",2023-08-13T07:15:00+09:00
포스코퓨처엠,실적 엇갈린 배터리 소재기업…양극재·동박 울고 분리막 웃고,https://n.news.naver.com/mnews/article/001/0014128285?sid=101,"메탈 가격 급락에…양극재 기업 실적 기대치 밑돌아 LG화학과 포스코퓨처엠, 에코프로비엠 등 양극재 기업의 2분기 실적은 다소 저조했다. 13일 업계에 따르면 LG화학 첨단소재 부문 영업이익은 작년 동기보다 45.0... ",2023-08-13T06:30:00+09:00
포스코퓨처엠,[CEO포커스] 이차전지에 빠진 구자은 LS 회장… 소재 투자 본격화,https://n.news.naver.com/mnews/article/417/0000941837?sid=101,"그는 LG에너지솔루션·삼성SDI·SK온·포스코퓨처엠 등 주요 기업들의 부스를 살펴봤다. 선도 기업들의 사업 현황을 확인해 산업 트렌드를 읽고 벤치마킹하기 위해서다. 구 회장은 ""전기차 분야 소재에서부터 부품, 충전... ",2023-08-13T06:20:00+09:00
포스코퓨처엠,"[금양 주간 동향] '폭락'에 공매도 까지 '급증' 공매 비중 6.81%, 리튬 관련주...",https://www.thekpm.com/news/articleView.html?idxno=168492,"반면 지오릿에너지, 유일에너테크, 세방전지, 이브이첨단소재, 코스모화학, 웰크론한텍, 이엔플러스, 대보마그네틱, 리튬포어스, 성일하이텍, 에코프로, 포스코퓨처엠, 포스코엠텍, 천보, 포스코홀딩스... ",2023-08-13T00:56:00+09:00
포스코퓨처엠,[한證막] 中 단체관광 등 이벤트 풍부했던 韓 주식시장,http://www.newsprime.co.kr/news/article.html?no=609913,2차전지 대형주로는 △LG에너지솔루션(373220) 1.62% △포스코홀딩스(005490) 3.51% △LG화학(051910) 1.89% △포스코퓨처엠(003670) 2.54%로 하락세를 면치 못했다. 결국 미국의 CPI가 예상치를 하회했다는 소식에도 반도체와... ,2023-08-12T17:16:00+09:00
포스코퓨처엠,리튬포어스·하이드로리튬 '누가팔길래' 하락세 이어져…리튬 관련주 '약세',https://www.thekpm.com/news/articleView.html?idxno=168458,"(합성), 이브이첨단소재, 코스모화학, 웰크론한텍, 이엔플러스, 대보마그네틱, 리튬포어스, 성일하이텍, 에코프로, 포스코퓨처엠, 포스코엠텍, 천보, 포스코홀딩스 ,하이드로리튬, 금양이 하락 마감했다.",2023-08-12T13:02:00+09:00
