query,title,link,description,pubdate
현대차,"제네시스, 글로벌 판매 100만대 돌파... 주역은 G80",https://www.weeklytrade.co.kr/news/view.html?section=1&category=5&item=&no=88072,현대차[005380]의 고급차 브랜드 제네시스가 출범 7년 10개월 만인 이번 달 글로벌 누적 판매 100만대 돌파가 확실시된다.13일 현대차의 IR 실적에 따르면 제네시스는 2015년 11월 브랜드 출범 이후 올해 7월까지 총... ,2023-08-13T16:24:00+09:00
현대차,"올해 경기 ‘상저하고’, 기업실적 전망에는 없다",https://n.news.naver.com/mnews/article/028/0002652134?sid=101,연초 대비 3분기 영업이익 전망치가 오른 곳은 현대차(2조5136억원→3조4477억원)와 기아(1조9998억원→2조7831억원) 정도에 그친다. 4분기 영업이익 추정치도 연초보다 크게 낮아졌다. 연초 기준 이들 69개 상장기업의... ,2023-08-13T16:21:00+09:00
현대차,‘귀국길’ 잼버리 대원들 현대차에 '특별한 감사',https://n.news.naver.com/mnews/article/658/0000049300?sid=101,소재 현대차그룹 연수원에 입소한 네덜란드 핀란드 홍콩 필리핀 슬로베니아 엘살바도르 등 6개국 약 1000명의 대원들은 4박 5일 동안 현대차그룹이 마련한 다양한 야외활동을 만끽했다는 게 현대차그룹 설명이다. 필리핀... ,2023-08-13T16:16:00+09:00
현대차,“부동산PF·해외 부동산 손실 우려”...증권사 부정 전망 여전,https://n.news.naver.com/mnews/article/009/0005172130?sid=101,중소형사는 총 18개사(대신·한화투자·교보·유안타·하이투자·신영·현대차·BNK투자·IBK투자·유진·이베스트투자·DB금융투자·다올투자·부국·SK·한양·케이프투자·상상인)가 해당한다. 부동산 PF 여신금액이... ,2023-08-13T16:15:00+09:00
현대차,"제네시스, 글로벌 고급차 브랜드 안착…판매 100만대 '가시권'",https://www.asiatoday.co.kr/view.php?key=20230813010006615,2015년 11월 첫 차량 G90(당시 국내 차명 EQ 900) 출시 후 7년 10개월 만이다.13일 현대차에 따르면... 당시 현대차 부회장이었던 정의선 현대차그룹 회장이 초기 기획 단계부터 외부 인사 영입·조직 개편까지... ,2023-08-13T16:10:00+09:00
현대차,‘모델 2‧ ID.2’급 기아 EV4 실내외 공개…가격은 3200만원?,https://www.thedrive.co.kr/news/newsview.php?ncode=1065595640841595,"최근 현대차그룹 R&D센터가 있는 경기도 화성 남양연구소 인근 거리에서 정체불명의 프로토타입 차량이... 미뤄 현대차보다는 기아에 가까워 보인다. 예를 들어, 외부 사이드미러는 신형 기아 니로에 사용되는 것과... ",2023-08-13T16:08:00+09:00
현대차,"현대차, 여름 바닷가에서 오감으로 즐기는 N 브랜드",https://www.iusm.co.kr/news/articleView.html?idxno=1021396,"동해시 망상해변에 위치한 나인비치37ES는 서핑과 카페를 동시에 즐길 수 있는 해변으로 현대차는 행사... 현대차 관계자는 ""N 비치에서 펼쳐지는 다양한 프로그램을 통해 많은 분이 N 브랜드의 매력을 느낄 수 있을 것... ",2023-08-13T16:06:00+09:00
현대차,"현대자동차, 동해 바다에서 'N 비치 시즌 2' 개최",http://www.startuptoday.co.kr/news/articleView.html?idxno=136390,"현대차는 행사 기간 방문 고객에게 N 브랜드만의 즐거움과 역동성을 알리는 다양한 즐길 거리와 체험형... 현대차 관계자는 ""N 비치에서 펼쳐지는 다양한 프로그램을 통해 많은 분이 N 브랜드의 매력을 느낄 수 있을 것... ",2023-08-13T16:02:00+09:00
현대차,"이란 동결자금 풀리자…""LNG선박 발주도 늘 것"" 산업계 기대",https://n.news.naver.com/mnews/article/025/0003300344?sid=101,현대차 관계자는 “중동 사업의 하나로 상황을 예의주시하고 있다”고 말했다. 현대차와 기아는 2018년 하반기 이란 수출을 중단했으며 사업 철수 직전 현지 판매량은 4만5000대 정도였다. 거래 재개 전 준비 작업이... ,2023-08-13T16:01:00+09:00
현대차,"'여름 바닷가서 N브랜드 체험'…현대차, 'N비치시즌 2'",http://www.shinailbo.co.kr/news/articleView.html?idxno=1745376,현대차는 행사 기간 동안 방문 고객에게 N 브랜드만의 즐거움과 역동성을 알리는 다양한 즐길 거리와... 현대차 관계자는 “N 비치에서 펼쳐지는 다양한 프로그램을 통해 많은 분이 N 브랜드의 매력을 느낄 수 있을... ,2023-08-13T15:58:00+09:00
