"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,,218470581000000.0,218163185000000.0,198215579000000.0,181385260000000.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,,49680710000000.0,39031415000000.0,29382578000000.0,26885999000000.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term financial instruments,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,,65102886000000.0,81708986000000.0,92441703000000.0,76252052000000.0
entity00126380_udf_BS_201851017339116_CurrentAssets,단기상각후원가금융자산,Short-term financial assets at amortized cost,재무상태표 [abstract],자산 [abstract],유동자산,단기상각후원가금융자산,,414610000000.0,3369034000000.0,2757111000000.0,3914216000000.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,단기당기손익-공정가치금융자산,Short-term financial assets at fair value through profit or loss,재무상태표 [abstract],자산 [abstract],유동자산,단기당기손익-공정가치금융자산,,29080000000.0,40757000000.0,71451000000.0,1727436000000.0
dart_ShortTermTradeReceivable,매출채권,Trade receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,,35721563000000.0,40713415000000.0,30965058000000.0,35131343000000.0
entity00126380_udf_BS_201710182279121_CurrentAssets,미수금,Non-trade receivables,재무상태표 [abstract],자산 [abstract],유동자산,미수금,,6149209000000.0,4497257000000.0,3604539000000.0,4179120000000.0
entity00126380_udf_BS_2017101822109437_CurrentAssets,선급비용,Prepaid expenses,재무상태표 [abstract],자산 [abstract],유동자산,선급비용,,2867823000000.0,2336252000000.0,2266100000000.0,2406220000000.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,,52187866000000.0,41384404000000.0,32043145000000.0,26766464000000.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,,6316834000000.0,5081665000000.0,3754462000000.0,4122410000000.0
entity00126380_udf_BS_20201022194537291_CurrentAssets,매각예정분류자산,Assets held-for-sale,재무상태표 [abstract],자산 [abstract],유동자산,매각예정분류자산,,0.0,0.0,929432000000.0,0.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,,229953926000000.0,208457973000000.0,180020139000000.0,171179237000000.0
entity00126380_udf_BS_201851017830322_NoncurrentAssets,기타포괄손익-공정가치금융자산,Financial assets at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치금융자산,,11397012000000.0,13965839000000.0,12575216000000.0,8920712000000.0
entity00126380_udf_BS_201851017832579_NoncurrentAssets,당기손익-공정가치금융자산,Financial assets at fair value through profit or loss,재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치금융자산,,1405468000000.0,1525344000000.0,1202969000000.0,1049004000000.0
entity00126380_udf_BS_20171018221637438_NoncurrentAssets,관계기업 및 공동기업 투자,Investment in associates and joint ventures,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업 및 공동기업 투자,,10893869000000.0,8932251000000.0,8076779000000.0,7591612000000.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,,168045388000000.0,149928539000000.0,128952892000000.0,119825474000000.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,,20217754000000.0,20236244000000.0,18468502000000.0,20703504000000.0
dart_DepositsForSeveranceInsurance,순확정급여자산,Net defined benefit assets,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,,5851972000000.0,2809590000000.0,1355502000000.0,589832000000.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred income tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,,5101318000000.0,4261214000000.0,4275000000000.0,4505049000000.0
