query,title,link,description,pubdate
HLB,[바이오 K-뉴딜 주간동향] 한미약품 한주간 12.86% 올라 주간 상승률 상위권,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211962,99%)▲6위 삼성바이오로직스 80만1000원(0.63%)▲7위 HLB 3만1000원(0.32%)▲8위 SK바이오팜 9만4700원(-1.66%)▲9위 SK바이오사이언스 8만2500원(-2.37%)▲10위 에스디바이오센서 1만2560원(-12.84%),2023-08-13T08:10:00+09:00
HLB,[화장품 관련주 47개 종목 상승] 스킨앤스킨 '법인 825만주 매도 폭탄' 한국화...,https://www.thekpm.com/news/articleView.html?idxno=168490,"아이큐어, HLB글로벌, 강스템바이오텍, 바이오스마트, 엔에프씨, 파미셀, 메타랩스가 상승했다. 세원이앤씨, 에스디생명공학, 이아이디, 케어젠, 아이패밀리에스씨, 코스온, 웨스트라이즈, 파나케이아가 보합... ",2023-08-13T00:36:00+09:00
HLB,[코스닥 공매도비중 TOP 30] 티씨케이 공매도 거래비중 30.29%로 1위,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211941,"2%, 20위 HLB생명과학 17.17%, 21위 펄어비스 17.08%, 22위 SFA반도체 16.83%, 23위 케이엠더블유 16.8%, 24위 엔케이맥스 16.71%, 25위 에스에프에이 16.68%, 26위 엘앤에프 16.49%, 27위 KG이니시스 16.45%, 28위... ",2023-08-12T18:16:00+09:00
HLB,"""가상 라이딩 즐기고, 관절도 지키세요"" 콴첼-야핏사이클 콜라보",http://www.enewstoday.co.kr/news/articleView.html?idxno=2028138,"HLB제약의 관절 전문 브랜드 '콴첼'이 메타버스 홈트레이닝 서비스 '야핏사이클'과 함께 공동 마케팅을... HLB제약 관계자는 ""폭염이 이어지면서 야외에서보다 실내에서 게임하듯 재미있게 라이딩을 즐기려는... ",2023-08-12T17:00:00+09:00
HLB,"HLB제약 콴첼 X 야핏사이클, 콜라보 마케팅 진행",http://www.m-i.kr/news/articleView.html?idxno=1039672,사진=HLB제약 매일일보 = 이용 기자  |  HLB제약의 관절 전문 브랜드 '콴첼'이 메타버스 홈트레이닝 서비스 '야핏사이클'과 함께 공동 마케팅을 진행한다. 이를 위해 오는 17일 목요일 밤 9시에 야핏사이클 이용자를... ,2023-08-12T13:34:00+09:00
HLB,"""정국도 마셨다""…'콤부차'에 쏠린 유통가 시선",https://sports.hankooki.com/news/articleView.html?idxno=6836630,"HLB글로벌의 자회사 프레시코가 출시한 '아임얼라이브 콤부차'는 GS25 편의점으로 판매처를 확대했다. 이 제품은 유기농 홍차와 녹차, 유기농 사탕수수 원당을 사용해 정통 발효방식으로 만들었으며 발효원액 100%를 담고... ",2023-08-12T10:02:00+09:00
HLB,"HLB그룹, ""HLB제약 등 국내외 계열사 기업 문화 호평""",http://www.docdocdoc.co.kr/news/articleView.html?idxno=3008616,"HLB그룹은 국내외 계열사들이 공신력 높은 전문기관으로부터 연이어 '일하기 좋은 기업'으로 선정되고 있다고 지난 11일 밝혔다. HLB그룹에 따르면, HLB제약은 최근 국제 기업문화 리서치 기관인 GPTW(Great Place to... ",2023-08-12T06:26:00+09:00
HLB,"HLB 그룹, 확장 행보 너머 ""원대한 목표"" 향한다",https://www.medipana.com/article/view.php?news_idx=315517&sch_cate=D,지난 4월 HLB는 선박 사업부 분할을 거쳐 완전한 바이오 기업으로 거듭났다. 이는 지난해 12월 '기타... 이어 지난 6월에 HLB는 컨소시엄을 통해 유전병 치료 소재 개발 및 암 진단 전문기업인 파,2023-08-12T06:12:00+09:00
HLB,"[바이오게시판] 대웅, 잼버리 대원 지원해 필리핀 대사관서 감사패 등",https://n.news.naver.com/mnews/article/366/0000923953?sid=101,▲HLB제약은 관절 전문 브랜드 ‘콴첼’이 메타버스 홈트레이닝 서비스 야핏사이클과 공동 마케팅을 진행한다고 11일 밝혔다. 실내에서 가상 라이딩을 즐기는 홈트레이닝족을 대상으로 관절 건강의 중요성을 알리고... ,2023-08-12T05:59:00+09:00
HLB,[바이오 K-뉴딜] 셀트리온헬스케어 2.12% 올라 상승률 상위권,https://www.pinpointnews.co.kr/news/articleView.html?idxno=211856,1위 셀트리온헬스케어 7만2300원(2.12%)▲2위 셀트리온제약 9만2100원(1.32%)▲3위 셀트리온 15만6500원(0.26%)▲4위 삼성바이오로직스 80만1000원(-0.12%)▲5위 한미약품 32만9000원(-0.45%)▲6위 HLB 3만1000원(-0.64... ,2023-08-12T00:02:00+09:00
