query,title,link,description,pubdate
JYP,"트와이스 나연, 첫 솔로곡 MV 유튜브 2억 뷰 돌파",https://n.news.naver.com/mnews/article/016/0002182929?sid=106,그룹 트와이스 나연의 솔로 데뷔곡 ‘팝!(POP!)’ 뮤직비디오가 유튜브에서 2억 뷰를 달성했다고 소속사 JYP엔터테인먼트가 13일 밝혔다. 2022년 6월 24일 공개된 나연의 첫 솔로 미니 앨범 ‘아이엠 나연(IM NAYEON)... ,2023-08-13T15:31:00+09:00
JYP,‘8월의 신부’ 백아연 결혼식에 JYP 식구들 총 출동,https://www.bntnews.co.kr/article/view/bnt202308130024,"비공개로 진행된 결혼식에는 과거 백아연이 몸담았던 기획사 JYP엔터테인먼트에서 친분을 맺은 동료들이 대거 참석해 함께 축하했다. 원더걸스 출신 선예는 이날 자신의 인스타그램에 ""진한 감동과 진정성이 가득... ",2023-08-13T14:54:00+09:00
JYP,"리더 출격 '8년만 첫 솔로' 트와이스 지효, 내공에 거는 기대",https://n.news.naver.com/mnews/article/437/0000355289?sid=106,2005년 JYP엔터테인먼트 연습생으로 입사해 10년이 넘는 연습생 생활을 보냈고 마침내 2015년 10월 20일... 타이틀곡 'Killin' Me Good'은 JYP엔터테인먼트 대표 프로듀서 박진영이 작사를 맡았고 지효 특유의 개성을... ,2023-08-13T14:25:00+09:00
JYP,"트와이스 지효, 8년 만에 솔로 데뷔…기대되는 이유",https://n.news.naver.com/mnews/article/396/0000652332?sid=106,2005년 JYP엔터테인먼트 연습생으로 입사해 10년이 넘는 연습생 생활을 보냈고 마침내 2015년 10월 20일... 타이틀곡 'Killin' Me Good'은 JYP엔터테인먼트 대표 프로듀서 박진영이 작사를 맡았고 지효 특유의 개성을... ,2023-08-13T13:59:00+09:00
JYP,"""트와이스 데뷔 8년 만의 솔로 앨범"" 지효, 내공 빛낸 앨범 티징",https://n.news.naver.com/mnews/article/416/0000298092?sid=106,2005년 JYP엔터테인먼트 연습생으로 입사해 10년이 넘는 연습생 생활을 보냈고 마침내 2015년 10월 20일... 타이틀곡 'Killin' Me Good'은 JYP엔터테인먼트 대표 프로듀서 박진영이 작사를 맡았고 지효 특유의 개성을... ,2023-08-13T13:40:00+09:00
JYP,"스트레이키즈, JYP 공식 효자됐다…'JYP 최초' 펜타 밀리언셀러 등극",https://n.news.naver.com/mnews/article/312/0000623234?sid=106,"'JYP엔터테인먼트 최초' 밀리언셀러에 더블 밀리언셀러, 트리플 밀리언셀러로서 자리하고 있는 스트레이 키즈가 'JYP엔터테인먼트 최초 펜타 밀리언셀러' 타이틀까지 거머쥐고 막강한 파워와 기세를 자랑했다.... ",2023-08-13T13:14:00+09:00
JYP,[엔터주 주간동향] 시가총액 한주간 5700억원 감소...와이지엔터테인먼트 강세,https://www.pinpointnews.co.kr/news/articleView.html?idxno=212019,1위 와이지엔터테인먼트 8만1700원(5.28%)▲2위 키이스트 7760원(3.88%)▲3위 위지윅스튜디오 3070원(3.54%)▲4위 쇼박스 3380원(3.52%)▲5위 JYP Ent. 12만9700원(3.1%)▲6위 디어유 3만6150원(2.55%)▲7위... ,2023-08-13T12:48:00+09:00
JYP,"트와이스 지효, ""데뷔 8년 만의 솔로 앨범""...오랜 시간 쌓은 내공 빛낸다",https://n.news.naver.com/mnews/article/408/0000197621?sid=106,2005년 JYP엔터테인먼트 연습생으로 입사해 10년이 넘는 연습생 생활을 보냈고 마침내 2015년 10월 20일... 타이틀곡 'Killin' Me Good'은 JYP엔터테인먼트 대표 프로듀서 박진영이 작사를 맡았고 지효 특유의 개성을... ,2023-08-13T12:30:00+09:00
JYP,"스트레이 키즈, JYP 최초 펜타 밀리언셀러 등극…정규 3집 500만장 돌파",https://n.news.naver.com/mnews/article/609/0000759173?sid=106,"그룹 스트레이 키즈(Stray Kids)가 정규 3집 '★★★★★ (5-STAR)'(파이브스타)으로 JYP엔터테인먼트 소속... JYP엔터테인먼트 최초 밀리언셀러에 더블 밀리언셀러, 트리플 밀리언셀러로서 자리하고 있는 스트레이... ",2023-08-13T12:06:00+09:00
JYP,"트와이스 지효, 8년간 갈고닦은 실력 솔로 앨범 '존'으로 보여준다",https://www.asiatoday.co.kr/view.php?key=20230813010006580,2005년 JYP엔터테인먼트 연습생으로 입사해 10년이 넘는 연습생 생활을 보낸 지효는 2015년 10월 20일... 이 곡은 솔로 앨범에 수록될 예정이다.소속사 JYP엔터테인먼트에 따르면 지효는 8년 동안 갈고닦은 실력과 매력을... ,2023-08-13T11:30:00+09:00
