stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,stock_code,company
20120410,4775,4700,5010,4505,662202,3187791120,00,0.00,N,2,60,,035900,JYP
20120409,4715,5250,5270,4600,914261,4464434905,00,0.00,N,5,-575,,035900,JYP
20120406,5290,5230,5380,5190,597011,3148329960,00,0.00,N,2,70,,035900,JYP
20120405,5220,5280,5420,5080,863745,4525081730,00,0.00,N,5,-270,,035900,JYP
20120404,5490,5560,5750,5200,1095521,5928379720,00,0.00,N,5,-190,,035900,JYP
20120403,5680,5950,6030,5470,1928930,11034481490,00,0.00,N,5,-240,,035900,JYP
20120402,5920,5440,6110,5420,5673320,33171887170,00,0.00,N,2,420,,035900,JYP
20120330,5500,5500,5500,5500,334512,1839851520,00,0.00,N,4,-960,,035900,JYP
20120329,6460,6460,6460,6460,215500,1392199540,00,0.00,N,4,-1140,,035900,JYP
20120328,7600,7800,7800,7590,322605,2464751340,00,0.00,N,5,-150,,035900,JYP
20120327,7750,7580,7780,7580,311917,2391950320,00,0.00,N,2,160,,035900,JYP
20120326,7590,7650,7710,7590,210949,1608119050,00,0.00,N,5,-10,,035900,JYP
20120323,7600,7480,7640,7480,248260,1874745250,00,0.00,N,5,-70,,035900,JYP
20120322,7670,7610,7800,7550,242813,1855027070,00,0.00,N,2,40,,035900,JYP
20120321,7630,7750,7760,7620,254647,1953377430,00,0.00,N,5,-80,,035900,JYP
20120320,7710,7920,7920,7700,348563,2705555280,00,0.00,N,5,-160,,035900,JYP
20120319,7870,7870,7910,7750,341384,2680011630,00,0.00,N,3,0,,035900,JYP
20120316,7870,7670,7930,7650,526951,4126824140,00,0.00,N,2,170,,035900,JYP
20120315,7700,7700,7790,7570,279330,2153583700,00,0.00,N,5,-10,,035900,JYP
20120314,7710,7800,7890,7610,582896,4488635790,00,0.00,N,5,-140,,035900,JYP
20120313,7850,8000,8030,7760,402960,3162983150,00,0.00,N,5,-110,,035900,JYP
20120312,7960,8080,8090,7830,441737,3502287960,00,0.00,N,5,-130,,035900,JYP
20120309,8090,8060,8170,7960,693671,5586548910,00,0.00,N,2,140,,035900,JYP
20120308,7950,7990,8000,7820,458064,3625673660,00,0.00,N,2,50,,035900,JYP
20120307,7900,7700,7900,7640,548228,4253895110,00,0.00,N,5,-40,,035900,JYP
20120306,7940,8100,8150,7700,733442,5779922410,00,0.00,N,5,-180,,035900,JYP
20120305,8120,7800,8660,7770,2465434,20193804590,00,0.00,N,2,470,,035900,JYP
20120302,7650,7580,7670,7550,245060,1868799100,00,0.00,N,2,10,,035900,JYP
20120229,7640,7540,7670,7500,295138,2231242130,00,0.00,N,2,140,,035900,JYP
20120228,7500,7350,7660,7300,427212,3200510550,00,0.00,N,2,150,,035900,JYP
20120227,7350,7480,7490,7350,316130,2341363250,00,0.00,N,5,-150,,035900,JYP
20120224,7500,7590,7610,7460,346779,2608358630,00,0.00,N,5,-10,,035900,JYP
20120223,7510,7540,7700,7470,431159,3251550900,00,0.00,N,5,-100,,035900,JYP
20120222,7610,7630,7760,7540,495216,3784934080,00,0.00,N,5,-10,,035900,JYP
20120221,7620,7730,7810,7500,568930,4340481830,00,0.00,N,5,-110,,035900,JYP
20120220,7730,7810,7970,7720,729086,5692458470,00,0.00,N,2,10,,035900,JYP
20120217,7720,7700,7820,7670,686177,5303091590,00,0.00,N,2,30,,035900,JYP
20120216,7690,7870,7900,7680,872793,6766778570,00,0.00,N,5,-130,,035900,JYP
20120215,7820,7400,7830,7280,2008068,15402478190,00,0.00,N,2,420,,035900,JYP
20120214,7400,7520,7520,7370,594809,4407376030,00,0.00,N,5,-90,,035900,JYP
20120213,7490,7540,7560,7340,752460,5603091320,00,0.00,N,5,-70,,035900,JYP
20120210,7560,7640,7750,7550,659790,5032345510,00,0.00,N,5,-80,,035900,JYP
20120209,7640,7600,7740,7460,772802,5888481520,00,0.00,N,2,110,,035900,JYP
20120208,7530,7600,7650,7460,774429,5831644290,00,0.00,N,5,-70,,035900,JYP
20120207,7600,7520,7760,7250,1849358,13856772270,00,0.00,N,5,-100,,035900,JYP
20120206,7700,7830,7970,7660,1406289,10897626090,00,0.00,N,5,-300,,035900,JYP
20120203,8000,8100,8150,7950,1157101,9288311900,00,0.00,N,5,-30,,035900,JYP
20120202,8030,8100,8120,7910,1103940,8829502910,00,0.00,N,2,20,,035900,JYP
20120201,8010,7900,8300,7890,1514906,12165935610,00,0.00,N,3,0,,035900,JYP
20120131,8010,8500,8640,8010,2947309,24372660460,00,0.00,N,5,-380,,035900,JYP
20120130,8390,8300,8890,8030,5702156,48474658930,00,0.00,N,2,400,,035900,JYP
20120127,7990,7940,8030,7840,1691018,13425033410,00,0.00,N,2,140,,035900,JYP
20120126,7850,7790,7850,7610,1156504,8956037480,00,0.00,N,2,100,,035900,JYP
20120125,7750,7990,8060,7680,1429198,11211393900,00,0.00,N,5,-240,,035900,JYP
20120120,7990,8100,8130,7760,1561215,12374744920,00,0.00,N,5,-160,,035900,JYP
