label_ko,class1,class2,class3,Date,finance_statement,corp_code,company
부채총계,부채,부채총계,,2016-12-31,19529789206.0,35900,JYP
부채총계,부채,부채총계,,2017-12-31,38667610853.0,35900,JYP
부채총계,부채,부채총계,,2018-12-31,31373866303.0,35900,JYP
부채총계,부채,부채총계,,2019-12-31,45489735142.0,35900,JYP
부채총계,부채,부채총계,,2020-12-31,37702367193.0,35900,JYP
부채총계,부채,부채총계,,2021-12-31,66768917247.0,35900,JYP
부채총계,부채,부채총계,,2022-12-31,106621208896.0,35900,JYP
기타비유동금융부채,부채,비유동부채,기타비유동금융부채,2016-12-31,60000000.0,35900,JYP
기타비유동금융부채,부채,비유동부채,기타비유동금융부채,2017-12-31,3844261272.0,35900,JYP
기타비유동금융부채,부채,비유동부채,기타비유동금융부채,2018-12-31,250000000.0,35900,JYP
기타비유동금융부채,부채,비유동부채,기타비유동금융부채,2019-12-31,1237938411.0,35900,JYP
기타비유동금융부채,부채,비유동부채,기타비유동금융부채,2020-12-31,3180175973.0,35900,JYP
기타비유동금융부채,부채,비유동부채,기타비유동금융부채,2021-12-31,1767291595.0,35900,JYP
기타비유동금융부채,부채,비유동부채,기타비유동금융부채,2022-12-31,3378038152.0,35900,JYP
기타비유동부채,부채,비유동부채,기타비유동부채,2016-12-31,0.0,35900,JYP
기타비유동부채,부채,비유동부채,기타비유동부채,2017-12-31,0.0,35900,JYP
기타비유동부채,부채,비유동부채,기타비유동부채,2018-12-31,322076538.0,35900,JYP
기타비유동부채,부채,비유동부채,기타비유동부채,2019-12-31,987555401.0,35900,JYP
기타비유동부채,부채,비유동부채,기타비유동부채,2020-12-31,1127130051.0,35900,JYP
기타비유동부채,부채,비유동부채,기타비유동부채,2021-12-31,4735861713.0,35900,JYP
기타비유동부채,부채,비유동부채,기타비유동부채,2022-12-31,1178196309.0,35900,JYP
이연법인세부채,부채,비유동부채,이연법인세부채,2016-12-31,746072451.0,35900,JYP
이연법인세부채,부채,비유동부채,이연법인세부채,2017-12-31,0.0,35900,JYP
이연법인세부채,부채,비유동부채,이연법인세부채,2018-12-31,289095810.0,35900,JYP
이연법인세부채,부채,비유동부채,이연법인세부채,2019-12-31,0.0,35900,JYP
이연법인세부채,부채,비유동부채,이연법인세부채,2020-12-31,0.0,35900,JYP
이연법인세부채,부채,비유동부채,이연법인세부채,2021-12-31,1872166577.0,35900,JYP
이연법인세부채,부채,비유동부채,이연법인세부채,2022-12-31,602735957.0,35900,JYP
충당부채,부채,비유동부채,충당부채,2016-12-31,0.0,35900,JYP
충당부채,부채,비유동부채,충당부채,2017-12-31,0.0,35900,JYP
충당부채,부채,비유동부채,충당부채,2018-12-31,0.0,35900,JYP
충당부채,부채,비유동부채,충당부채,2019-12-31,0.0,35900,JYP
충당부채,부채,비유동부채,충당부채,2020-12-31,60757442.0,35900,JYP
충당부채,부채,비유동부채,충당부채,2021-12-31,61913876.0,35900,JYP
충당부채,부채,비유동부채,충당부채,2022-12-31,78243008.0,35900,JYP
비유동부채,부채,비유동부채,,2016-12-31,991361492.0,35900,JYP
비유동부채,부채,비유동부채,,2017-12-31,3844261272.0,35900,JYP
비유동부채,부채,비유동부채,,2018-12-31,861172348.0,35900,JYP
비유동부채,부채,비유동부채,,2019-12-31,2339985312.0,35900,JYP
비유동부채,부채,비유동부채,,2020-12-31,4368063466.0,35900,JYP
비유동부채,부채,비유동부채,,2021-12-31,8437233761.0,35900,JYP
비유동부채,부채,비유동부채,,2022-12-31,5237213426.0,35900,JYP
기타유동금융부채,부채,유동부채,기타유동금융부채,2016-12-31,0.0,35900,JYP
기타유동금융부채,부채,유동부채,기타유동금융부채,2017-12-31,0.0,35900,JYP
기타유동금융부채,부채,유동부채,기타유동금융부채,2018-12-31,0.0,35900,JYP
기타유동금융부채,부채,유동부채,기타유동금융부채,2019-12-31,1174296672.0,35900,JYP
기타유동금융부채,부채,유동부채,기타유동금융부채,2020-12-31,1462994210.0,35900,JYP
기타유동금융부채,부채,유동부채,기타유동금융부채,2021-12-31,2392309254.0,35900,JYP
기타유동금융부채,부채,유동부채,기타유동금융부채,2022-12-31,3214591918.0,35900,JYP
기타유동부채,부채,유동부채,기타유동부채,2016-12-31,371854576.0,35900,JYP
기타유동부채,부채,유동부채,기타유동부채,2017-12-31,1821145325.0,35900,JYP
기타유동부채,부채,유동부채,기타유동부채,2018-12-31,5578524593.0,35900,JYP
기타유동부채,부채,유동부채,기타유동부채,2019-12-31,9300166951.0,35900,JYP
기타유동부채,부채,유동부채,기타유동부채,2020-12-31,9283877109.0,35900,JYP
기타유동부채,부채,유동부채,기타유동부채,2021-12-31,15814007089.0,35900,JYP
