stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,stock_code,company
2012-04-10,4775.0,4700.0,5010.0,4505.0,662202.0,3187791120.0,0.0,0.0,N,2.0,60.0,35900,JYP
2012-04-09,4715.0,5250.0,5270.0,4600.0,914261.0,4464434905.0,0.0,0.0,N,5.0,-575.0,35900,JYP
2012-04-06,5290.0,5230.0,5380.0,5190.0,597011.0,3148329960.0,0.0,0.0,N,2.0,70.0,35900,JYP
2012-04-05,5220.0,5280.0,5420.0,5080.0,863745.0,4525081730.0,0.0,0.0,N,5.0,-270.0,35900,JYP
2012-04-04,5490.0,5560.0,5750.0,5200.0,1095521.0,5928379720.0,0.0,0.0,N,5.0,-190.0,35900,JYP
2012-04-03,5680.0,5950.0,6030.0,5470.0,1928930.0,11034481490.0,0.0,0.0,N,5.0,-240.0,35900,JYP
2012-04-02,5920.0,5440.0,6110.0,5420.0,5673320.0,33171887170.0,0.0,0.0,N,2.0,420.0,35900,JYP
2012-03-30,5500.0,5500.0,5500.0,5500.0,334512.0,1839851520.0,0.0,0.0,N,4.0,-960.0,35900,JYP
2012-03-29,6460.0,6460.0,6460.0,6460.0,215500.0,1392199540.0,0.0,0.0,N,4.0,-1140.0,35900,JYP
2012-03-28,7600.0,7800.0,7800.0,7590.0,322605.0,2464751340.0,0.0,0.0,N,5.0,-150.0,35900,JYP
2012-03-27,7750.0,7580.0,7780.0,7580.0,311917.0,2391950320.0,0.0,0.0,N,2.0,160.0,35900,JYP
2012-03-26,7590.0,7650.0,7710.0,7590.0,210949.0,1608119050.0,0.0,0.0,N,5.0,-10.0,35900,JYP
2012-03-23,7600.0,7480.0,7640.0,7480.0,248260.0,1874745250.0,0.0,0.0,N,5.0,-70.0,35900,JYP
2012-03-22,7670.0,7610.0,7800.0,7550.0,242813.0,1855027070.0,0.0,0.0,N,2.0,40.0,35900,JYP
2012-03-21,7630.0,7750.0,7760.0,7620.0,254647.0,1953377430.0,0.0,0.0,N,5.0,-80.0,35900,JYP
2012-03-20,7710.0,7920.0,7920.0,7700.0,348563.0,2705555280.0,0.0,0.0,N,5.0,-160.0,35900,JYP
2012-03-19,7870.0,7870.0,7910.0,7750.0,341384.0,2680011630.0,0.0,0.0,N,3.0,0.0,35900,JYP
2012-03-16,7870.0,7670.0,7930.0,7650.0,526951.0,4126824140.0,0.0,0.0,N,2.0,170.0,35900,JYP
2012-03-15,7700.0,7700.0,7790.0,7570.0,279330.0,2153583700.0,0.0,0.0,N,5.0,-10.0,35900,JYP
2012-03-14,7710.0,7800.0,7890.0,7610.0,582896.0,4488635790.0,0.0,0.0,N,5.0,-140.0,35900,JYP
2012-03-13,7850.0,8000.0,8030.0,7760.0,402960.0,3162983150.0,0.0,0.0,N,5.0,-110.0,35900,JYP
2012-03-12,7960.0,8080.0,8090.0,7830.0,441737.0,3502287960.0,0.0,0.0,N,5.0,-130.0,35900,JYP
2012-03-09,8090.0,8060.0,8170.0,7960.0,693671.0,5586548910.0,0.0,0.0,N,2.0,140.0,35900,JYP
2012-03-08,7950.0,7990.0,8000.0,7820.0,458064.0,3625673660.0,0.0,0.0,N,2.0,50.0,35900,JYP
2012-03-07,7900.0,7700.0,7900.0,7640.0,548228.0,4253895110.0,0.0,0.0,N,5.0,-40.0,35900,JYP
2012-03-06,7940.0,8100.0,8150.0,7700.0,733442.0,5779922410.0,0.0,0.0,N,5.0,-180.0,35900,JYP
2012-03-05,8120.0,7800.0,8660.0,7770.0,2465434.0,20193804590.0,0.0,0.0,N,2.0,470.0,35900,JYP
2012-03-02,7650.0,7580.0,7670.0,7550.0,245060.0,1868799100.0,0.0,0.0,N,2.0,10.0,35900,JYP
2012-02-29,7640.0,7540.0,7670.0,7500.0,295138.0,2231242130.0,0.0,0.0,N,2.0,140.0,35900,JYP
2012-02-28,7500.0,7350.0,7660.0,7300.0,427212.0,3200510550.0,0.0,0.0,N,2.0,150.0,35900,JYP
2012-02-27,7350.0,7480.0,7490.0,7350.0,316130.0,2341363250.0,0.0,0.0,N,5.0,-150.0,35900,JYP
2012-02-24,7500.0,7590.0,7610.0,7460.0,346779.0,2608358630.0,0.0,0.0,N,5.0,-10.0,35900,JYP
2012-02-23,7510.0,7540.0,7700.0,7470.0,431159.0,3251550900.0,0.0,0.0,N,5.0,-100.0,35900,JYP
2012-02-22,7610.0,7630.0,7760.0,7540.0,495216.0,3784934080.0,0.0,0.0,N,5.0,-10.0,35900,JYP
2012-02-21,7620.0,7730.0,7810.0,7500.0,568930.0,4340481830.0,0.0,0.0,N,5.0,-110.0,35900,JYP
2012-02-20,7730.0,7810.0,7970.0,7720.0,729086.0,5692458470.0,0.0,0.0,N,2.0,10.0,35900,JYP
2012-02-17,7720.0,7700.0,7820.0,7670.0,686177.0,5303091590.0,0.0,0.0,N,2.0,30.0,35900,JYP
2012-02-16,7690.0,7870.0,7900.0,7680.0,872793.0,6766778570.0,0.0,0.0,N,5.0,-130.0,35900,JYP
2012-02-15,7820.0,7400.0,7830.0,7280.0,2008068.0,15402478190.0,0.0,0.0,N,2.0,420.0,35900,JYP
2012-02-14,7400.0,7520.0,7520.0,7370.0,594809.0,4407376030.0,0.0,0.0,N,5.0,-90.0,35900,JYP
2012-02-13,7490.0,7540.0,7560.0,7340.0,752460.0,5603091320.0,0.0,0.0,N,5.0,-70.0,35900,JYP
2012-02-10,7560.0,7640.0,7750.0,7550.0,659790.0,5032345510.0,0.0,0.0,N,5.0,-80.0,35900,JYP
2012-02-09,7640.0,7600.0,7740.0,7460.0,772802.0,5888481520.0,0.0,0.0,N,2.0,110.0,35900,JYP
2012-02-08,7530.0,7600.0,7650.0,7460.0,774429.0,5831644290.0,0.0,0.0,N,5.0,-70.0,35900,JYP
2012-02-07,7600.0,7520.0,7760.0,7250.0,1849358.0,13856772270.0,0.0,0.0,N,5.0,-100.0,35900,JYP
