concept_id,label_ko,label_en,class1,class2,class3,Date,finance_statement,corp_code,company
ifrs-full_EquityAndLiabilities,자본과부채총계,"Total equity and liabilities",자본과부채총계,NULL,NULL,20161231,86571517594,035900,JYP
dart_OtherNonCurrentAssets,기타비유동자산,"Other non-current assets",자산,비유동자산,기타비유동자산,20161231,6579083111,035900,JYP
entity00258689_udf_BS_20171112103350886_NoncurrentAssets,무형자산,"intangible asset",자산,비유동자산,무형자산,20161231,30978512618,035900,JYP
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",자산,비유동자산,유형자산,20161231,252432965,035900,JYP
ifrs-full_InvestmentsInAssociates,관계기업투자,"Investments in associates",자산,비유동자산,관계기업투자,20161231,887091548,035900,JYP
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,"Other non-current financial assets",자산,비유동자산,기타비유동금융자산,20161231,6579083111,035900,JYP
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,"Non-current financial assets measured at fair value through other comprehensive income",자산,비유동자산,기타포괄손익-공정가치측정금융자산,20161231,NULL,035900,JYP
entity00258689_udf_BS_2020319171055507_NoncurrentAssets,당기손익-공정가치측정금융자산(비유동),"Non-current financial assets measured at fair value through profit or loss",자산,비유동자산,당기손익-공정가치측정금융자산(비유동),20161231,NULL,035900,JYP
ifrs-full_DeferredTaxAssets,이연법인세자산,"Deferred tax assets",자산,비유동자산,이연법인세자산,20161231,NULL,035900,JYP
ifrs-full_NoncurrentAssets,비유동자산,"Non-current assets",자산,비유동자산,NULL,20161231,42610798241,035900,JYP
dart_OtherCurrentAssets,기타유동자산,"Other current assets",자산,유동자산,기타유동자산,20161231,NULL,035900,JYP
ifrs-full_Inventories,재고자산,Inventories,자산,유동자산,재고자산,20161231,1372862613,035900,JYP
ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,"Trade and other current receivables",자산,유동자산,매출채권및기타채권,20161231,7597380370,035900,JYP
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,"Other current financial assets",자산,유동자산,기타유동금융자산,20161231,6000000000,035900,JYP
entity00258689_udf_BS_20171112102223512_CurrentAssets,당기손익-공정가치측정금융자산(유동),"Current financial assets measured at fair value through profit or loss",자산,유동자산,당기손익-공정가치측정금융자산(유동),20161231,NULL,035900,JYP
ifrs-full_CashAndCashEquivalents,현금및현금성자산,"Cash and cash equivalents",자산,유동자산,현금및현금성자산,20161231,24834072865,035900,JYP
ifrs-full_CurrentAssets,유동자산,"Current assets",자산,유동자산,NULL,20161231,43960719353,035900,JYP
ifrs-full_CurrentTaxAssets,당기법인세자산,"Current tax assets",자산,유동자산,당기법인세자산,20161231,NULL,035900,JYP
ifrs-full_Assets,자산총계,"Total assets",자산,자산총계,NULL,20161231,86571517594,035900,JYP
ifrs-full_Equity,자본총계,"Total equity",자본,자본총계,NULL,20161231,67041728388,035900,JYP
ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,"Trade and other current payables",부채,유동부채,매입채무및기타채무,20161231,9186636252,035900,JYP
ifrs-full_NoncontrollingInterests,비지배지분,"Non-controlling interests",자본,비지배지분,NULL,20161231,603706423,035900,JYP
ifrs-full_RetainedEarnings,이익잉여금,"Retained earnings",자본,"지배기업의 소유주지분",이익잉여금,20161231,10632553020,035900,JYP
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,"Other Comprehensive income/loss accumulated amount",자본,"지배기업의 소유주지분",기타포괄손익누계액,20161231,82621426,035900,JYP
dart_OtherCapitalAdjustments,자본조정,"Other capital adjustments",자본,"지배기업의 소유주지분",자본조정,20161231,NULL,035900,JYP
dart_CapitalSurplus,자본잉여금,"Capital surplus",자본,"지배기업의 소유주지분",자본잉여금,20161231,52793665846,035900,JYP
ifrs-full_IssuedCapital,자본금,"Issued capital",자본,"지배기업의 소유주지분",자본금,20161231,17021506000,035900,JYP
ifrs-full_EquityAttributableToOwnersOfParent,"지배기업의 소유주지분","Equity attributable to owners of parent",자본,"지배기업의 소유주지분",NULL,20161231,66438021965,035900,JYP
ifrs-full_Liabilities,부채총계,"Total liabilities",부채,부채총계,NULL,20161231,19529789206,035900,JYP
ifrs-full_CurrentLiabilities,유동부채,"Current liabilities",부채,유동부채,NULL,20161231,18538427714,035900,JYP
dart_OtherNonCurrentLiabilities,기타비유동부채,"Other non-current liabilities",부채,비유동부채,기타비유동부채,20161231,NULL,035900,JYP
ifrs-full_NoncurrentProvisions,충당부채,"Non-current provisions",부채,비유동부채,충당부채,20161231,NULL,035900,JYP
ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,"Other non-current financial liabilities",부채,비유동부채,기타비유동금융부채,20161231,60000000,035900,JYP
